,University,Degree,Grade,Province,Modality,Public/Private,Web,Duration,Cost
0,Universidad de Granada,Doble Grado en Matemáticas + Física,"13,164",Granada,Presencial,Universidad Pública,http://fciencias.ugr.es/index.php,"5,0 años",no disponible
1,Universidad de Sevilla,Doble Grado en Física +  Matemáticas,"13,090",Sevilla,Presencial,Universidad Pública,http://fisica.us.es,"5,0 años",909 €
2,Universidad de Granada,Grado en Medicina,"12,750",Granada,Presencial,Universidad Pública,http://www.ugr.es/~facmed/,"6,0 años",757 €
3,Universidad de Granada,Grado en Traducción e Interpretación (Inglés),"12,750",Granada,Presencial,Universidad Pública,http://www.ugr.es/~factrad/,"4,0 años",757 €
4,Universidad de Sevilla,Grado en Medicina,"12,725",Sevilla,Presencial,Universidad Pública,https://medicina.us.es/,"6,0 años",757 €
5,Universidad de Sevilla,Doble Grado en Fisioterapia + Ciencias de la Actividad Física y del Deporte,"12,677",Sevilla,Presencial,Universidad Pública,http://www.fefp.us.es/,"5,0 años",no disponible
6,Universidad de Málaga,Grado en Medicina,"12,631",Málaga,Presencial,Universidad Pública,http://www.uma.es/facultad-de-medicina/,"6,0 años",757 €
7,Universidad de Córdoba,Grado en Medicina,"12,623",Córdoba,Presencial,Universidad Pública,http://www.uco.es/medicina/,"6,0 años",757 €
8,Universidad de Sevilla,Grado en Biomedicina Básica y Experimental,"12,562",Sevilla,Presencial,Universidad Pública,https://medicina.us.es/,"4,0 años",757 €
9,Universidad de Cádiz,Grado en Medicina,"12,483",Cádiz,Presencial,Universidad Pública,http://www.uca.es/centro/1C04,"6,0 años",757 €
10,Universidad de Granada,Grado en Bioquímica,"12,435",Granada,Presencial,Universidad Pública,http://fciencias.ugr.es/index.php,"4,0 años",757 €
11,Universidad de Granada,Grado en Biotecnología,"12,300",Granada,Presencial,Universidad Pública,http://fciencias.ugr.es/index.php,"4,0 años",757 €
12,Universidad de Sevilla,Grado en Ingeniería Aeroespacial,"12,295",Sevilla,Presencial,Universidad Pública,http://www.etsi.us.es/,"4,0 años",757 €
13,Universidad de Sevilla,Grado en Bioquímica (interuniversitario US-UMA),"12,250",Sevilla,Presencial,Universidad Pública,http://biologia.us.es/es/,"4,0 años",757 €
14,Universidad Pablo de Olavide,Grado en Biotecnología,"12,075",Sevilla,Presencial,Universidad Pública,http://www.upo.es/fcex/portada,"4,0 años",757 €
15,Universidad de Sevilla,Doble Grado en Periodismo + Comunicación Audiovisual,"12,031",Sevilla,Presencial,Universidad Pública,http://fcom.us.es/,"5,0 años",984 €
16,Universidad de Sevilla,Doble Grado en Derecho + Economía,"12,025",Sevilla,Presencial,Universidad Pública,http://www.derecho.us.es/,"5,0 años",1.136 €
17,Universidad de Sevilla,Doble Grado en Ingeniería en Diseño Industrial y Desarrollo del Producto + Ingeniería Mecánica,"11,970",Sevilla,Presencial,Universidad Pública,https://eps.us.es/,"5,0 años",757 €
18,Universidad de Málaga,Grado en Bioquímica,"11,895",Málaga,Presencial,Universidad Pública,https://www.uma.es/facultad-de-ciencias/,"4,0 años",757 €
19,Universidad de Sevilla,Grado en Odontología,"11,880",Sevilla,Presencial,Universidad Pública,http://www.odontologiaus.es/,"5,0 años",757 €
20,Universidad Pablo de Olavide,Doble Grado en Derecho + Administración y Dirección de Empresas,"11,870",Sevilla,Presencial,Universidad Pública,https://www.upo.es/facultad-derecho/es/,,no disponible
21,Universidad de Sevilla,"Grado en Ingeniería Electrónica, Robótica y Mecatrónica","11,840",Sevilla,Presencial,Universidad Pública,http://www.etsi.us.es/,"4,0 años",757 €
22,Universidad de Sevilla,Grado en Fisioterapia,"11,738",Sevilla,Presencial,Universidad Pública,http://www.fefp.us.es/,"4,0 años",757 €
23,Universidad de Sevilla,Doble Grado en Física + Ingeniería de Materiales,"11,721",Sevilla,Presencial,Universidad Pública,http://fisica.us.es,"5,0 años",833 €
24,Universidad de Málaga,Grado en Fisioterapia,"11,675",Málaga,Presencial,Universidad Pública,http://www.uma.es/facultad-de-ciencias-d...,"4,0 años",757 €
25,Universidad de Granada,Doble Grado en Ingeniería Informática + Matemáticas,"11,673",Granada,Presencial,Universidad Pública,http://etsiit.ugr.es/,"5,0 años",no disponible
26,Universidad de Córdoba,Grado en Bioquímica,"11,660",Córdoba,Presencial,Universidad Pública,http://www.uco.es/organiza/centros/cienc...,"4,0 años",757 €
27,Universidad de Granada,Grado en Odontología,"11,650",Granada,Presencial,Universidad Pública,http://www.ugr.es/~odonto/,"5,0 años",757 €
28,Universidad Pablo de Olavide,Grado en Traducción e Interpretación (Inglés),"11,580",Sevilla,Presencial,Universidad Pública,http://www.upo.es/fhum/portada,"4,0 años",757 €
29,Universidad de Granada,Grado en Fisioterapia,"11,560",Granada,Presencial,Universidad Pública,http://cienciasdelasalud.ugr.es/,"4,0 años",757 €
30,Universidad Pablo de Olavide,Doble Grado en Humanidades + Traducción e Interpretación (Inglés),"11,544",Sevilla,Presencial,Universidad Pública,http://www.upo.es/fhum/portada,"5,0 años",no disponible
31,Universidad de Málaga,Doble Grado en Economía +  Administración y Dirección de Empresas,"11,430",Málaga,Presencial,Universidad Pública,http://www.uma.es/facultad-de-ciencias-e...,"4,0 años",no disponible
32,Universidad Pablo de Olavide,Grado en Administración y Dirección de Empresas,"11,420",Sevilla,Presencial,Universidad Pública,http://www.upo.es/fce/portada,"4,0 años",757 €
33,Universidad Pablo de Olavide,Doble Grado en Derecho + Criminología,"11,375",Sevilla,Presencial,Universidad Pública,https://www.upo.es/facultad-derecho/es/,"5,0 años",no disponible
34,Universidad de Cádiz,Doble Grado en Filología Hispánica +  Estudios Ingleses,"11,339",Cádiz,Presencial,Universidad Pública,http://www.uca.es/centro/1C03/,"5,0 años",no disponible
35,Universidad de Cádiz,Grado en Biotecnología,"11,335",Cádiz,Presencial,Universidad Pública,http://www.uca.es/centro/1C01,"4,0 años",757 €
36,Universidad de Málaga,"Grado en Ingeniería Electrónica, Robótica y Mecatrónica","11,160",Málaga,Presencial,Universidad Pública,http://www.etsii.uma.es/,"4,0 años",757 €
37,Universidad de Sevilla,Grado en Enfermería,"11,106",Sevilla,Presencial,Universidad Pública,http://www.fefp.us.es/,"4,0 años",757 €
38,Universidad de Sevilla,Doble Grado en Educación Primaria + Estudios Franceses,"11,090",Sevilla,Presencial,Universidad Pública,https://fcce.us.es/,"5,0 años",984 €
39,Universidad de Sevilla,Doble Grado en Matemáticas +  Estadística,"11,035",Sevilla,Presencial,Universidad Pública,https://matematicas.us.es/,"5,0 años",833 €
40,Universidad de Granada,Doble Grado en Educación Primaria + Estudios Ingleses,"10,982",Granada,Presencial,Universidad Pública,http://fcce.ugr.es//index.php?option=com...,"5,0 años",no disponible
41,Universidad de Sevilla,Doble Grado en Administración y Dirección de Empresas + Derecho,"10,980",Sevilla,Presencial,Universidad Pública,http://fceye.us.es/,"5,0 años",1.060 €
42,Universidad de Málaga,Doble Grado en Derecho + Administración y Dirección de Empresas,"10,959",Málaga,Presencial,Universidad Pública,http://www.uma.es/facultad-de-ciencias-e...,"6,0 años",no disponible
43,Universidad de Sevilla,Doble Grado en Química + Ingeniería de Materiales,"10,941",Sevilla,Presencial,Universidad Pública,http://www.centro.us.es/quimica,"5,0 años",871 €
44,Universidad de Cádiz,Doble Grado en Ingeniería Mecánica + Ingeniería en Diseño Industrial y Desarrollo del Producto,"10,892",Cádiz,Presencial,Universidad Pública,http://www.uca.es/centro/1C11,"5,0 años",757 €
45,Universidad de Córdoba,Grado en Veterinaria,"10,863",Córdoba,Presencial,Universidad Pública,http://www.uco.es/veterinaria/,"5,0 años",757 €
46,Universidad de Granada,Doble Grado en Traducción e Interpretación (Inglés) + Turismo,"10,793",Granada,Presencial,Universidad Pública,http://www.ugr.es/~factrad/,"5,0 años",no disponible
47,Universidad de Granada,Grado en Ciencias de la Actividad Física y del Deporte,"10,790",Granada,Presencial,Universidad Pública,http://deporte.ugr.es/,"4,0 años",757 €
48,Universidad de Sevilla,Doble Grado en Farmacia + Óptica y Optometría,"10,778",Sevilla,Presencial,Universidad Pública,http://www.farmacia.us.es,"6,0 años",833 €
49,Universidad de Cádiz,Grado en Fisioterapia,"10,700",Cádiz,Presencial,Universidad Pública,http://www.uca.es/escuela/ciencias_salud...,"4,0 años",757 €
