,University,Grade,Province,Modality,Public/Private,Duration,Cost
0,Universidad de Zaragoza,"13,254",Zaragoza,Presencial,Universidad Pública,"5,0 años",1.430 €
1,Universidad de Zaragoza,"12,450",Zaragoza,Presencial,Universidad Pública,"6,0 años",1.403 €
2,Universidad de Zaragoza,"12,301",Huesca,Presencial,Universidad Pública,"6,0 años",1.403 €
3,Universidad de Zaragoza,"12,120",Zaragoza,Presencial,Universidad Pública,"4,0 años",1.403 €
4,Centro Universitario de la Defensa,"11,295",Zaragoza,Presencial,Centro Adscrito Público,"5,0 años",0 €
5,Universidad de Zaragoza,"11,292",Zaragoza,Presencial,Universidad Pública,"5,0 años",1.560 €
6,Universidad de Zaragoza,"11,126",Huesca,Presencial,Universidad Pública,"5,0 años",1.403 €
7,Universidad de Zaragoza,"10,645",Zaragoza,Presencial,Universidad Pública,"4,0 años",1.300 €
8,Universidad de Zaragoza,"10,632",Zaragoza,Presencial,Universidad Pública,"5,0 años",1.403 €
9,Universidad de Zaragoza,"10,580",Zaragoza,Presencial,Universidad Pública,"4,0 años",1.403 €
10,Universidad de Zaragoza,"10,201",Zaragoza,Presencial,Universidad Pública,"4,0 años",1.300 €
11,Universidad de Zaragoza,"10,170",Zaragoza,Presencial,Universidad Pública,"4,0 años",1.403 €
12,E.U. de Enfermería Hospital General San Jorge,"10,052",Huesca,Presencial,Centro Adscrito Público,"4,0 años",1.606 €
13,Universidad de Zaragoza,"9,770",Zaragoza,Presencial,Universidad Pública,"4,0 años",1.403 €
14,Universidad de Zaragoza,"9,691",Zaragoza,Presencial,Universidad Pública,"4,0 años",1.300 €
15,Universidad de Zaragoza,"9,529",Zaragoza,Presencial,Universidad Pública,"4,0 años",972 €
16,E.U. de Enfermería de Teruel,"9,523",Teruel,Presencial,Centro Adscrito Público,"4,0 años",1.606 €
17,Universidad de Zaragoza,"9,403",Huesca,Presencial,Universidad Pública,"4,0 años",1.403 €
18,Universidad de Zaragoza,"8,472",Teruel,Presencial,Universidad Pública,"4,0 años",972 €
19,Universidad de Zaragoza,"8,430",Zaragoza,Presencial,Universidad Pública,"4,0 años",972 €
20,Universidad de Zaragoza,"8,334",Zaragoza,Presencial,Universidad Pública,"4,0 años",1.300 €
21,Universidad de Zaragoza,"8,220",Zaragoza,Presencial,Universidad Pública,"4,0 años",972 €
22,Universidad de Zaragoza,"7,603",Zaragoza,Presencial,Universidad Pública,"4,0 años",822 €
23,Universidad de Zaragoza,"6,750",Huesca,Presencial,Universidad Pública,"4,0 años",1.403 €
24,Universidad de Zaragoza,"5,816",Zaragoza,Presencial,Universidad Pública,"4,0 años",822 €
25,Universidad de Zaragoza,"5,662",Zaragoza,Presencial,Universidad Pública,"5,0 años",1.403 €
26,Universidad de Zaragoza,"5,576",Zaragoza,Presencial,Universidad Pública,"4,0 años",1.300 €
27,Universidad de Zaragoza,"5,000",Zaragoza,Presencial,Universidad Pública,"4,0 años",972 €
28,Universidad de Zaragoza,"5,000",Zaragoza,Presencial,Universidad Pública,"4,0 años",972 €
29,Universidad de Zaragoza,"5,000",Teruel,Presencial,Universidad Pública,"4,0 años",972 €
30,Universidad de Zaragoza,"5,000",Huesca,Presencial,Universidad Pública,"4,0 años",972 €
31,Universidad de Zaragoza,"5,000",Zaragoza,Presencial,Universidad Pública,"4,0 años",1.403 €
32,Universidad de Zaragoza,"5,000",Zaragoza,Presencial,Universidad Pública,"4,0 años",1.300 €
33,Universidad de Zaragoza,"5,000",Zaragoza,Presencial,Universidad Pública,"4,0 años",972 €
34,Universidad de Zaragoza,"5,000",Huesca,Presencial,Universidad Pública,"4,0 años",1.300 €
35,Universidad de Zaragoza,"5,000",Zaragoza,Presencial,Universidad Pública,"4,0 años",1.300 €
36,Universidad de Zaragoza,"5,000",Huesca,Presencial,Universidad Pública,"4,0 años",972 €
37,Universidad de Zaragoza,"5,000",Teruel,Presencial,Universidad Pública,"4,0 años",1.300 €
38,Universidad de Zaragoza,"5,000",Zaragoza,Presencial,Universidad Pública,"4,0 años",1.300 €
39,Universidad de Zaragoza,"5,000",Zaragoza,Presencial,Universidad Pública,"4,0 años",1.300 €
40,Universidad de Zaragoza,"5,000",Zaragoza,Presencial,Universidad Pública,"4,0 años",822 €
41,Universidad de Zaragoza,"5,000",Zaragoza,Presencial,Universidad Pública,"4,0 años",972 €
42,Universidad de Zaragoza,"5,000",Zaragoza,Presencial,Universidad Pública,"4,0 años",972 €
43,Universidad de Zaragoza,"5,000",Huesca,Presencial,Universidad Pública,"4,0 años",1.300 €
44,Universidad de Zaragoza,"5,000",Zaragoza,Presencial,Universidad Pública,"4,0 años",822 €
45,Universidad de Zaragoza,"5,000",Teruel,Presencial,Universidad Pública,"4,0 años",972 €
46,Universidad de Zaragoza,"5,000",Zaragoza,Presencial,Universidad Pública,"4,0 años",972 €
47,Universidad de Zaragoza,"5,000",Zaragoza,Presencial,Universidad Pública,"4,0 años",1.403 €
48,Universidad de Zaragoza,"5,000",Teruel,Presencial,Universidad Pública,"4,0 años",1.300 €
49,Universidad de Zaragoza,"5,000",Huesca,Presencial,Universidad Pública,"4,0 años",822 €
