,University,Degree,Grade,Province,Modality,Duration,Cost
0,Universidad de Oviedo,Grado en Medicina,"12,370",Asturias,Presencial,"6,0 años",1.355 €
1,Universidad de Oviedo,Doble Grado en Matemáticas + Física,"12,250",Asturias,Presencial,"5,0 años",1.069 €
2,Universidad de Oviedo,Grado en Odontología,"11,562",Asturias,Presencial,"5,0 años",1.355 €
3,Universidad de Oviedo,Grado en Biotecnología,"11,160",Asturias,Presencial,"4,0 años",1.069 €
4,E.U. de Enfermería de Cabueñes de Gijón,Grado en Enfermería,"11,020",Asturias,Presencial,"4,0 años",1.354 €
5,Universidad de Oviedo,http://medicinaysalud.uniovi.es/,"10,860",Asturias,Presencial,"4,0 años",1.355 €
6,Universidad de Oviedo,http://medicinaysalud.uniovi.es/,"10,508",Asturias,Presencial,"4,0 años",1.355 €
7,Universidad de Oviedo,http://ciencias.uniovi.es/,"10,209",Asturias,Presencial,"4,0 años",1.069 €
8,Universidad de Oviedo,http://ciencias.uniovi.es/,"9,240",Asturias,Presencial,"4,0 años",1.069 €
9,Universidad de Oviedo,http://psicologia.uniovi.es/,"8,830",Asturias,Presencial,"4,0 años",1.355 €
10,Universidad de Oviedo,http://biologia.uniovi.es/,"8,448",Asturias,Presencial,"4,0 años",1.069 €
11,Universidad de Oviedo,http://psicologia.uniovi.es/,"7,928",Asturias,Presencial,"4,0 años",1.355 €
12,Universidad de Oviedo,http://ingenieriainformatica.uniovi.es/,"7,770",Asturias,Presencial,"4,0 años",1.069 €
13,Universidad de Oviedo,http://www.unioviedo.es/fpe/portal/,"6,730",Asturias,Presencial,"4,0 años",1.069 €
14,Universidad de Oviedo,http://www.unioviedo.es/fpe/portal/,"6,264",Asturias,Presencial,"4,0 años",1.069 €
15,Universidad de Oviedo,http://epm.uniovi.es/,"5,000",Asturias,Presencial,"4,0 años",1.069 €
16,Universidad de Oviedo,http://eimem.uniovi.es/,"5,000",Asturias,Presencial,"4,0 años",1.069 €
17,Universidad de Oviedo,http://econo.uniovi.es/,"5,000",Asturias,Presencial,"4,0 años",1.069 €
18,Universidad de Oviedo,http://econo.uniovi.es/,"5,000",Asturias,Presencial,"4,0 años",1.069 €
19,Universidad de Oviedo,http://www.uniovi.es/centros/escuelas/ep...,"5,000",Asturias,Presencial,"4,0 años",1.069 €
20,Universidad de Oviedo,http://www.uniovi.es/centros/escuelas/ep...,"5,000",Asturias,Presencial,"4,0 años",1.069 €
21,Universidad de Oviedo,http://jovellanos.uniovi.es/,"5,000",Asturias,Presencial,"4,0 años",1.069 €
22,Universidad de Oviedo,http://www.uniovi.es/centros/escuelas/ep...,"5,000",Asturias,Presencial,"4,0 años",1.069 €
23,Universidad de Oviedo,http://www.uniovi.es/centros/escuelas/ep...,"5,000",Asturias,Presencial,"4,0 años",1.069 €
24,Universidad de Oviedo,http://epm.uniovi.es/,"5,000",Asturias,Presencial,"5,0 años",1.069 €
25,Universidad de Oviedo,http://www.uniovi.es/centros/escuelas/ep...,"5,000",Asturias,Presencial,"4,0 años",1.069 €
26,Universidad de Oviedo,http://econo.uniovi.es/,"5,000",Asturias,Presencial,"5,0 años",1.276 €
27,Universidad de Oviedo,http://econo.uniovi.es/,"5,000",Asturias,Presencial,"4,0 años",1.069 €
28,Universidad de Oviedo,http://quimica.uniovi.es/,"5,000",Asturias,Presencial,"4,0 años",1.069 €
29,Universidad de Oviedo,http://jovellanos.uniovi.es/,"5,000",Asturias,Presencial,"4,0 años",1.069 €
30,Universidad de Oviedo,http://epm.uniovi.es/,"5,000",Asturias,Presencial,"4,0 años",1.069 €
31,Universidad de Oviedo,http://www.uniovi.es/centros/escuelas/ep...,"5,000",Asturias,Presencial,"4,0 años",1.069 €
32,Universidad de Oviedo,http://www.uniovi.es/centros/escuelas/ep...,"5,000",Asturias,Presencial,"4,0 años",1.069 €
33,Universidad de Oviedo,http://geologia.uniovi.es/,"5,000",Asturias,Presencial,"4,0 años",1.069 €
34,Universidad de Oviedo,http://www.unioviedo.es/fpe/portal/,"5,000",Asturias,Presencial,"4,0 años",1.069 €
35,Universidad de Oviedo,http://quimica.uniovi.es/,"5,000",Asturias,Presencial,"4,0 años",1.069 €
36,Universidad de Oviedo,http://epm.uniovi.es/,"5,000",Asturias,Presencial,"4,0 años",1.069 €
37,Universidad de Oviedo,http://epm.uniovi.es/,"5,000",Asturias,Presencial,"4,0 años",1.069 €
38,Universidad de Oviedo,http://econo.uniovi.es/,"5,000",Asturias,Presencial,"4,0 años",1.069 €
39,Facultad Padre Ossó,http://facultadpadreosso.es/,"5,000",Asturias,Presencial,"4,0 años",3.620 €
40,Facultad Padre Ossó,http://facultadpadreosso.es/,"5,000",Asturias,Presencial,"4,0 años",4.100 €
41,Facultad Padre Ossó,http://facultadpadreosso.es/,"5,000",Asturias,Presencial,"4,0 años",3.620 €
42,Facultad Padre Ossó,http://facultadpadreosso.es/,"5,000",Asturias,Presencial,"4,0 años",3.620 €
43,Facultad de Turismo de Oviedo,http://www.facultadturismo.com,"5,000",Asturias,Presencial,"4,0 años",4.872 €
44,Universidad de Oviedo,http://marina.uniovi.es/,...,Asturias,Presencial,"4,0 años",1.069 €
45,Universidad de Oviedo,http://fyl.uniovi.es/,...,Asturias,Presencial,"4,0 años",1.069 €
46,Universidad de Oviedo,http://fyl.uniovi.es/,...,Asturias,Presencial,"4,0 años",760 €
47,Universidad de Oviedo,http://fyl.uniovi.es/,...,Asturias,Presencial,"4,0 años",760 €
48,Universidad de Oviedo,http://fyl.uniovi.es/,...,Asturias,Presencial,"4,0 años",760 €
49,Universidad de Oviedo,http://marina.uniovi.es/,...,Asturias,Presencial,"4,0 años",1.069 €
