,University,Grade,Province,Modality,Duration,Cost
0,Universidad de Cantabria,"13,016",Cantabria,Presencial,"5,0 años",942 €
1,Universidad de Cantabria,"12,183",Cantabria,Presencial,"6,0 años",964 €
2,Universidad de Cantabria,"10,778",Cantabria,Presencial,"4,0 años",964 €
3,Universidad de Cantabria,"9,136",Cantabria,Presencial,"4,0 años",757 €
4,Universidad de Cantabria,"8,746",Cantabria,Presencial,"4,0 años",757 €
5,Universidad de Cantabria,"8,131",Cantabria,Presencial,"4,0 años",901 €
6,Universidad de Cantabria,"8,111",Cantabria,Presencial,"4,0 años",901 €
7,E.U. de Informática Tomàs Cerdà,"7,912",Cantabria,Presencial,"4,0 años",6.340 €
8,Universidad de Cantabria,"6,234",Cantabria,Presencial,"4,0 años",668 €
9,Universidad de Cantabria,"5,848",Cantabria,Presencial,"4,0 años",668 €
10,Universidad de Cantabria,"5,000",Cantabria,Presencial,"4,0 años",901 €
11,Universidad de Cantabria,"5,000",Cantabria,Presencial,"4,0 años",901 €
12,Universidad de Cantabria,"5,000",Cantabria,Presencial,"4,0 años",901 €
13,Universidad de Cantabria,"5,000",Cantabria,Presencial,"4,0 años",901 €
14,Universidad de Cantabria,"5,000",Cantabria,Presencial,"4,0 años",901 €
15,Universidad de Cantabria,"5,000",Cantabria,Presencial,"4,0 años",668 €
16,Universidad de Cantabria,"5,000",Cantabria,Presencial,"4,0 años",668 €
17,Universidad de Cantabria,"5,000",Cantabria,Presencial,"4,0 años",901 €
18,Universidad de Cantabria,"5,000",Cantabria,Presencial,"4,0 años",668 €
19,Universidad de Cantabria,"5,000",Cantabria,Presencial,"4,0 años",668 €
20,Universidad de Cantabria,"5,000",Cantabria,Presencial,"4,0 años",901 €
21,Universidad de Cantabria,"5,000",Cantabria,Presencial,"4,0 años",901 €
22,Universidad de Cantabria,"5,000",Cantabria,Presencial,"4,0 años",901 €
23,Universidad de Cantabria,"5,000",Cantabria,Presencial,"4,0 años",901 €
24,Universidad de Cantabria,"5,000",Cantabria,Presencial,"4,0 años",901 €
25,Universidad de Cantabria,"5,000",Cantabria,Presencial,"4,0 años",617 €
26,Universidad de Cantabria,"5,000",Cantabria,Presencial,"4,0 años",668 €
27,E.U. de Informática Tomàs Cerdà,"5,000",Cantabria,Presencial,"4,0 años",5.441 €
28,E.U. de Turismo Altamira,"5,000",Cantabria,Presencial,"4,0 años",4.500 €
29,CIESE-Comillas (Centro Internacional de Estudios Superiores del Español),"5,000",Cantabria,Presencial,"4,0 años",3.800 €
30,Universidad Europea del Atlántico,No aplica,Cantabria,Presencial,"4,0 años",5.880 €
31,Universidad Europea del Atlántico,No aplica,Cantabria,Presencial,"4,0 años",5.880 €
32,Universidad Europea del Atlántico,No aplica,Cantabria,Presencial,"4,0 años",5.880 €
33,Universidad Europea del Atlántico,No aplica,Cantabria,Presencial,"4,0 años",6.120 €
34,Universidad Europea del Atlántico,No aplica,Cantabria,Presencial,"4,0 años",5.880 €
35,Universidad Europea del Atlántico,No aplica,Cantabria,Presencial,"4,0 años",5.880 €
36,Universidad Europea del Atlántico,No aplica,Cantabria,Presencial,"4,0 años",5.880 €
37,Universidad Europea del Atlántico,No aplica,Cantabria,Presencial,"4,0 años",5.880 €
38,Universidad Europea del Atlántico,No aplica,Cantabria,Presencial,"4,0 años",6.120 €
39,Universidad Europea del Atlántico,No aplica,Cantabria,Presencial,"4,0 años",6.120 €
40,Universidad Europea del Atlántico,No aplica,Cantabria,Presencial,"4,0 años",5.880 €
41,Universidad Europea del Atlántico,No aplica,Cantabria,Presencial,"4,0 años",6.120 €
42,Universidad Europea del Atlántico,No aplica,Cantabria,Presencial,"4,0 años",5.880 €
43,Universidad Europea del Atlántico,No aplica,Cantabria,Presencial,"4,0 años",5.880 €
44,Universidad Europea del Atlántico,No aplica,Cantabria,Presencial,"4,0 años",5.880 €
45,CESINE - Centro Universitario,No aplica,Cantabria,A distancia,"5,0 años",3.935 €
46,CESINE - Centro Universitario,No aplica,Cantabria,Presencial,"5,0 años",5.600 €
47,CESINE - Centro Universitario,No aplica,Cantabria,A distancia,"4,0 años",3.000 €
48,CESINE - Centro Universitario,No aplica,Cantabria,Presencial,"4,0 años",5.070 €
49,CESINE - Centro Universitario,No aplica,Cantabria,A distancia,"4,0 años",3.000 €
