,University,Grade,Province,Modality,Public/Private,Duration,Cost
0,Universidad de Castilla La Mancha,"12,801",Albacete,Presencial,Universidad Pública,"6,0 años",1.132 €
1,Universidad de Castilla La Mancha,"12,745",Ciudad Real,Presencial,Universidad Pública,"6,0 años",1.132 €
2,Universidad de Castilla La Mancha,"11,540",Toledo,Presencial,Universidad Pública,"4,0 años",1.132 €
3,Universidad de Castilla La Mancha,"10,815",Toledo,Presencial,Universidad Pública,"4,0 años",1.132 €
4,Universidad de Castilla La Mancha,"10,710",Albacete,Presencial,Universidad Pública,"5,0 años",1.132 €
5,Universidad de Castilla La Mancha,"10,395",Albacete,Presencial,Universidad Pública,"4,0 años",1.132 €
6,Universidad de Alcalá,"10,130",Guadalajara,Presencial,Universidad Pública,"4,0 años",1.782 €
7,Universidad de Castilla La Mancha,"10,117",Albacete,Presencial,Universidad Pública,"6,0 años",728 €
8,Universidad de Castilla La Mancha,"9,946",Toledo,Presencial,Universidad Pública,"4,0 años",1.132 €
9,Universidad de Castilla La Mancha,"9,871",Ciudad Real,Presencial,Universidad Pública,"4,0 años",1.132 €
10,Universidad de Castilla La Mancha,"9,465",Toledo,Presencial,Universidad Pública,"4,0 años",1.132 €
11,Universidad de Castilla La Mancha,"9,400",Cuenca,Presencial,Universidad Pública,"4,0 años",1.132 €
12,Universidad de Alcalá,"9,108",Guadalajara,Presencial,Universidad Pública,"5,0 años",no disponible
13,Universidad de Alcalá,"8,380",Guadalajara,Presencial,Universidad Pública,"4,0 años",1.458 €
14,Universidad de Castilla La Mancha,"8,324",Toledo,Presencial,Universidad Pública,"4,0 años",1.132 €
15,Universidad de Castilla La Mancha,"7,961",Albacete,Presencial,Universidad Pública,"6,0 años",728 €
16,Universidad de Alcalá,"7,449",Guadalajara,Presencial,Universidad Pública,"4,0 años",1.458 €
17,Universidad de Alcalá,"7,449",Guadalajara,Presencial,Universidad Pública,"4,0 años",1.458 €
18,Universidad de Castilla La Mancha,"7,260",Ciudad Real,Presencial,Universidad Pública,"4,0 años",1.132 €
19,Universidad de Castilla La Mancha,"7,201",Albacete,Presencial,Universidad Pública,"4,0 años",875 €
20,Universidad de Castilla La Mancha,"7,150",Albacete,Presencial,Universidad Pública,"4,0 años",728 €
21,Universidad de Castilla La Mancha,"7,139",Toledo,Presencial,Universidad Pública,"4,0 años",875 €
22,Universidad de Castilla La Mancha,"7,104",Ciudad Real,Presencial,Universidad Pública,"4,0 años",1.132 €
23,Universidad de Castilla La Mancha,"7,096",Albacete,Presencial,Universidad Pública,"4,0 años",875 €
24,Universidad de Castilla La Mancha,"6,957",Toledo,Presencial,Universidad Pública,"6,0 años",728 €
25,Universidad de Alcalá,"6,820",Guadalajara,Presencial,Universidad Pública,"4,0 años",1.458 €
26,Universidad de Alcalá,"6,690",Guadalajara,Presencial,Universidad Pública,"4,0 años",1.458 €
27,Universidad de Castilla La Mancha,"6,620",Toledo,Presencial,Universidad Pública,"4,0 años",875 €
28,Universidad de Castilla La Mancha,"6,603",Toledo,Presencial,Universidad Pública,"4,0 años",875 €
29,Universidad de Castilla La Mancha,"6,570",Toledo,Presencial,Universidad Pública,"4,0 años",875 €
30,Universidad de Castilla La Mancha,"6,172",Cuenca,Presencial,Universidad Pública,"4,0 años",875 €
31,Universidad de Castilla La Mancha,"6,145",Cuenca,Presencial,Universidad Pública,"6,0 años",728 €
32,Universidad de Castilla La Mancha,"6,046",Albacete,Presencial,Universidad Pública,"4,0 años",1.132 €
33,Universidad de Castilla La Mancha,"5,998",Ciudad Real,Presencial,Universidad Pública,"4,0 años",875 €
34,Universidad de Castilla La Mancha,"5,920",Ciudad Real,Presencial,Universidad Pública,"4,0 años",875 €
35,Universidad de Castilla La Mancha,"5,817",Ciudad Real,Presencial,Universidad Pública,"4,0 años",1.132 €
36,Universidad de Castilla La Mancha,"5,750",Ciudad Real,Presencial,Universidad Pública,"4,0 años",1.132 €
37,Universidad de Castilla La Mancha,"5,710",Ciudad Real,Presencial,Universidad Pública,"4,0 años",728 €
38,Universidad de Castilla La Mancha,"5,697",Ciudad Real,Presencial,Universidad Pública,"6,0 años",728 €
39,Universidad de Castilla La Mancha,"5,607",Toledo,Presencial,Universidad Pública,"4,0 años",1.132 €
40,Universidad de Castilla La Mancha,"5,482",Ciudad Real,Presencial,Universidad Pública,"4,0 años",728 €
41,Universidad de Castilla La Mancha,"5,473",Ciudad Real,Presencial,Universidad Pública,"4,0 años",728 €
42,Universidad de Castilla La Mancha,"5,292",Ciudad Real,Presencial,Universidad Pública,"4,0 años",1.132 €
43,Universidad de Alcalá,"5,238",Guadalajara,Presencial,Universidad Pública,"5,0 años",no disponible
44,Universidad de Castilla La Mancha,"5,226",Ciudad Real,Presencial,Universidad Pública,"4,0 años",728 €
45,Universidad de Castilla La Mancha,"5,160",Ciudad Real,Presencial,Universidad Pública,"4,0 años",1.132 €
46,Universidad de Castilla La Mancha,"5,156",Toledo,Presencial,Universidad Pública,"5,0 años",1.132 €
47,Universidad de Castilla La Mancha,"5,151",Albacete,Presencial,Universidad Pública,"4,0 años",728 €
48,Universidad de Castilla La Mancha,"5,142",Cuenca,Presencial,Universidad Pública,"4,0 años",728 €
49,Universidad de Castilla La Mancha,"5,106",Ciudad Real,Presencial,Universidad Pública,"4,0 años",1.132 €
