,University,Grade,Province,Modality,Public/Private,Duration,Cost
0,Universidad de Valladolid,"13,171",Valladolid,Presencial,Universidad Pública,"5,0 años",1.334 €
1,Universidad de Salamanca,"12,456",Salamanca,Presencial,Universidad Pública,"4,0 años",1.450 €
2,Universidad de Salamanca,"12,321",Salamanca,Presencial,Universidad Pública,"6,0 años",1.815 €
3,Universidad de Valladolid,"12,210",Valladolid,Presencial,Universidad Pública,"6,0 años",1.815 €
4,Universidad de Valladolid,"11,775",Valladolid,Presencial,Universidad Pública,"5,0 años",1.665 €
5,Universidad de León,"11,532",León,Presencial,Universidad Pública,"4,0 años",1.450 €
6,Universidad de Salamanca,"11,264",Salamanca,Presencial,Universidad Pública,"4,0 años",1.533 €
7,Universidad de Salamanca,"11,245",Salamanca,Presencial,Universidad Pública,"5,0 años",1.533 €
8,Universidad de León,"10,851",León,Presencial,Universidad Pública,"4,0 años",1.663 €
9,Universidad de Salamanca,"10,648",Salamanca,Presencial,Universidad Pública,"6,0 años",1.213 €
10,Universidad de Salamanca,"10,635",Salamanca,Presencial,Universidad Pública,"4,0 años",1.663 €
11,Universidad de León,"10,588",León,Presencial,Universidad Pública,"5,0 años",1.815 €
12,Universidad de Valladolid,"10,570",Valladolid,Presencial,Universidad Pública,"6,0 años",1.202 €
13,Universidad de Valladolid,"10,530",Valladolid,Presencial,Universidad Pública,"5,0 años",1.526 €
14,Universidad de Salamanca,"10,398",Salamanca,Presencial,Universidad Pública,"6,0 años",1.222 €
15,Universidad de León,"10,230",León,Presencial,Universidad Pública,"4,0 años",1.533 €
16,Universidad de Salamanca,"10,147",Salamanca,Presencial,Universidad Pública,"4,0 años",1.112 €
17,Universidad de Burgos,"10,071",Burgos,Presencial,Universidad Pública,"5,0 años",no disponible
18,Universidad de Valladolid,"10,031",Valladolid,Presencial,Universidad Pública,"6,0 años",1.665 €
19,Universidad de Valladolid,"10,016",Valladolid,Presencial,Universidad Pública,"4,0 años",1.663 €
20,Universidad de León,"9,923",León,Presencial,Universidad Pública,"4,0 años",1.663 €
21,Universidad de Salamanca,"9,731",Salamanca,Presencial,Universidad Pública,"6,0 años",1.305 €
22,Universidad de Valladolid,"9,720",Valladolid,Presencial,Universidad Pública,"4,0 años",1.112 €
23,Universidad de Salamanca,"9,655",Salamanca,Presencial,Universidad Pública,"6,0 años",1.213 €
24,Universidad de Burgos,"9,460",Burgos,Presencial,Universidad Pública,"4,0 años",1.663 €
25,Universidad de León,"9,356",León,Presencial,Universidad Pública,"4,0 años",1.663 €
26,Universidad de Valladolid,"9,310",Soria,Presencial,Universidad Pública,"4,0 años",1.663 €
27,Universidad de Valladolid,"9,220",Valladolid,Presencial,Universidad Pública,"4,0 años",1.112 €
28,Universidad de Salamanca,"9,212",Salamanca,Presencial,Universidad Pública,"4,0 años",1.112 €
29,"Escuela de Enfermería de Palencia ""Dr. Dacio Crespo""","9,075",Palencia,Presencial,Centro Adscrito Público,"4,0 años",1.663 €
30,Universidad de Valladolid,"9,046",Valladolid,Presencial,Universidad Pública,"4,0 años",1.663 €
31,Universidad de Valladolid,"8,955",Soria,Presencial,Universidad Pública,"4,0 años",1.533 €
32,Universidad de Salamanca,"8,906",Salamanca,Presencial,Universidad Pública,"6,0 años",1.766 €
33,Universidad de Valladolid,"8,703",Valladolid,Presencial,Universidad Pública,"4,0 años",1.663 €
34,Universidad de Salamanca,"8,464",Salamanca,Presencial,Universidad Pública,"5,0 años",1.450 €
35,Universidad de León,"8,442",León,Presencial,Universidad Pública,"4,0 años",1.450 €
36,Universidad de Salamanca,"8,226",Salamanca,Presencial,Universidad Pública,"4,0 años",1.450 €
37,Universidad de Salamanca,"8,186",Salamanca,Presencial,Universidad Pública,"4,0 años",1.204 €
38,Universidad de Valladolid,"8,180",Valladolid,Presencial,Universidad Pública,"4,0 años",1.112 €
39,Universidad de León,"7,963",León,Presencial,Universidad Pública,"4,0 años",1.204 €
40,E.U. de Enfermería de Zamora,"7,928",Zamora,Presencial,Centro Adscrito Público,"4,0 años",1.760 €
41,Universidad de Salamanca,"7,896",Salamanca,Presencial,Universidad Pública,"4,0 años",1.112 €
42,Universidad de Valladolid,"7,820",Valladolid,Presencial,Universidad Pública,"4,0 años",1.204 €
43,Universidad de Valladolid,"7,788",Valladolid,Presencial,Universidad Pública,"4,0 años",1.450 €
44,Universidad de Salamanca,"7,729",Salamanca,Presencial,Universidad Pública,"4,0 años",1.112 €
45,Universidad de Salamanca,"7,482",Salamanca,Presencial,Universidad Pública,"4,0 años",1.533 €
46,Universidad de León,"7,149",León,Presencial,Universidad Pública,"4,0 años",1.450 €
47,E.U. de Enfermería de Ávila,"7,083",Ávila,Presencial,Centro Adscrito Público,"4,0 años",1.700 €
48,Universidad de Salamanca,"7,002",Salamanca,Presencial,Universidad Pública,"6,0 años",no disponible
49,Universidad de León,"6,974",León,Presencial,Universidad Pública,"4,0 años",1.450 €
