,University,Degree,Grade,Province,Modality,Public/Private,Web,Duration,Cost
0,Universidad de Granada,Grado en Enfermería,"8,311",Melilla,Presencial,Universidad Pública,http://www.ugr.es/~euenfermeriamelilla/,"4,0 años",757 €
1,Universidad de Granada,Grado en Enfermería,"8,145",Ceuta,Presencial,Universidad Pública,http://enfermeriaceuta.ugr.es/,"4,0 años",757 €
2,Universidad de Granada,Grado en Fisioterapia,"8,040",Melilla,Presencial,Universidad Pública,http://www.ugr.es/~euenfermeriamelilla/,"4,0 años",757 €
3,Universidad de Granada,Grado en Educación Social,"5,000",Melilla,Presencial,Universidad Pública,http://www.faedumel.es/,"4,0 años",757 €
4,Universidad de Granada,Grado en Educación Social,"5,000",Ceuta,Presencial,Universidad Pública,http://fehceuta.ugr.es/,"4,0 años",757 €
5,Universidad de Granada,Grado en Educación Primaria,"5,000",Ceuta,Presencial,Universidad Pública,http://fehceuta.ugr.es/,"4,0 años",757 €
6,Universidad de Granada,Grado en Educación Infantil,"5,000",Melilla,Presencial,Universidad Pública,http://www.faedumel.es/,"4,0 años",757 €
7,Universidad de Granada,Grado en Relaciones Laborales y Recursos Humanos,"5,000",Melilla,Presencial,Universidad Pública,http://eues.ugr.es/eues/,"4,0 años",757 €
8,Universidad de Granada,Doble Grado en Administración y Dirección de Empresas + Derecho,"5,000",Melilla,Presencial,Universidad Pública,http://eues.ugr.es/eues/,"5,0 años",no disponible
9,Universidad de Granada,Grado en Administración y Dirección de Empresas,"5,000",Melilla,Presencial,Universidad Pública,http://eues.ugr.es/eues/,"4,0 años",757 €
10,Universidad de Granada,Grado en Administración y Dirección de Empresas,"5,000",Ceuta,Presencial,Universidad Pública,http://fehceuta.ugr.es/,"4,0 años",757 €
11,Universidad de Granada,Doble Grado en Educación Primaria + Ciencias de la Actividad Física y del Deporte,"5,000",Melilla,Presencial,Universidad Pública,http://www.faedumel.es/,"5,0 años",no disponible
12,Universidad de Granada,Grado en Educación Primaria,"5,000",Melilla,Presencial,Universidad Pública,http://www.faedumel.es/,"4,0 años",757 €
13,Universidad de Granada,Grado en Ingeniería Informática,"5,000",Ceuta,Presencial,Universidad Pública,http://fehceuta.ugr.es/,"4,0 años",757 €
14,Universidad de Granada,Grado en Educación Infantil,"5,000",Ceuta,Presencial,Universidad Pública,http://fehceuta.ugr.es/,"4,0 años",757 €
