,University,Degree,Grade,Province,Modality,Public/Private,Web,Duration,Cost
0,Universidad de Extremadura,Grado en Medicina,"12,315",Badajoz,Presencial,Universidad Pública,http://medicina.centros.unex.es,"6,0 años",1.111 €
1,Universidad de Extremadura,Grado en Veterinaria,"10,496",Cáceres,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"5,0 años",1.111 €
2,Universidad de Extremadura,Grado en Biotecnología,"9,981",Badajoz,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"4,0 años",942 €
3,Universidad de Extremadura,Grado en Fisioterapia,"9,972",Badajoz,Presencial,Universidad Pública,http://medicina.centros.unex.es,"4,0 años",1.111 €
4,Universidad de Extremadura,Grado en Psicología,"9,614",Badajoz,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"4,0 años",740 €
5,Universidad de Extremadura,Grado en Enfermería,"9,450",Badajoz,Presencial,Universidad Pública,http://medicina.centros.unex.es,"4,0 años",1.111 €
6,Universidad de Extremadura,Grado en Ciencias de la Actividad Física y el Deporte,"9,084",Cáceres,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"4,0 años",740 €
7,Universidad de Extremadura,Grado en Criminología,"9,036",Cáceres,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"4,0 años",740 €
8,Universidad de Extremadura,Grado en Enfermería,"8,800",Badajoz,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"4,0 años",1.111 €
9,Universidad de Extremadura,Grado en Enfermería,"8,746",Cáceres,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"4,0 años",1.111 €
10,Universidad de Extremadura,Grado en Bioquímica,"8,575",Cáceres,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"4,0 años",942 €
11,Universidad de Extremadura,Grado en Enfermería,"8,365",Cáceres,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"4,0 años",1.111 €
12,Universidad de Extremadura,Doble Grado en Criminología + Derecho,"8,134",Cáceres,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"6,0 años",no disponible
13,Universidad de Extremadura,Grado en Física,"6,898",Badajoz,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"4,0 años",942 €
14,Universidad de Extremadura,Grado en Ingeniería Informática en Ingeniería del Software,"6,860",Cáceres,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"4,0 años",1.010 €
15,Universidad de Extremadura,Grado en Educación Social,"6,530",Cáceres,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"4,0 años",740 €
16,Universidad de Extremadura,Grado en Terapia Ocupacional,"5,898",Cáceres,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"4,0 años",1.111 €
17,Universidad de Extremadura,PCEO en Comunicación Audiovisual + Información y Documentación,"5,818",Badajoz,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"5,0 años",740 €
18,Universidad de Extremadura,Grado en Podología,"5,715",Cáceres,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"4,0 años",1.111 €
19,Universidad de Extremadura,Grado en Comunicación Audiovisual,"5,710",Badajoz,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"4,0 años",740 €
20,Universidad de Extremadura,PCEO en Administración y Dirección de Empresas + Relaciones Laborales y Recursos Humanos,"5,000",Badajoz,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"5,0 años",740 €
21,Universidad de Extremadura,Grado en Ingeniería en Diseño Industrial y Desarrollo de Productos,"5,000",Badajoz,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"4,0 años",1.010 €
22,Universidad de Extremadura,Grado en Enología,"5,000",Badajoz,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"4,0 años",942 €
23,Universidad de Extremadura,Grado en Química,"5,000",Badajoz,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"4,0 años",942 €
24,Universidad de Extremadura,Grado en Educación Primaria,"5,000",Badajoz,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"4,0 años",740 €
25,Universidad de Extremadura,Grado en Ciencia y Tecnología de los Alimentos,"5,000",Badajoz,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"4,0 años",942 €
26,Universidad de Extremadura,Grado en Ingeniería Informática en Tecnologías de la Información,"5,000",Badajoz,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"4,0 años",1.010 €
27,Universidad de Extremadura,Grado en Filología Hispánica,"5,000",Cáceres,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"4,0 años",619 €
28,Universidad de Extremadura,Grado en Educación Primaria,"5,000",Cáceres,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"4,0 años",740 €
29,Universidad de Extremadura,Grado en Ingeniería de las Explotaciones Agropecuarias,"5,000",Badajoz,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"4,0 años",1.010 €
30,Universidad de Extremadura,Grado en Ingeniería de Sonido e Imagen en Telecomunicación,"5,000",Cáceres,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"4,0 años",1.010 €
31,Universidad de Extremadura,PCEO en Administración y Dirección de Empresas + Derecho,"5,000",Badajoz,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"5,0 años",740 €
32,Universidad de Extremadura,PCEO en Ingeniería Informática en Tecnologías de la Información + Ingeniería en Telemática,"5,000",Badajoz,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"5,0 años",1.010 €
33,Universidad de Extremadura,Grado en Ingeniería Civil - Construcciones Civiles,"5,000",Cáceres,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"4,0 años",1.010 €
34,Universidad de Extremadura,Grado en Ingeniería Electrónica y Automática (Rama Industrial),"5,000",Badajoz,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"4,0 años",1.010 €
35,Universidad de Extremadura,PCEO en Administración y Dirección de Empresa + Turismo,"5,000",Cáceres,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,,740 €
36,Universidad de Extremadura,Grado en Ingeniería Química Industrial,"5,000",Badajoz,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"4,0 años",1.010 €
37,Universidad de Extremadura,Grado en Lenguas y Literaturas Modernas. Francés,"5,000",Cáceres,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"4,0 años",619 €
38,Universidad de Extremadura,Grado en Educación Infantil,"5,000",Cáceres,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"4,0 años",740 €
39,Universidad de Extremadura,Grado en Ingeniería Forestal y del Medio Natural,"5,000",Cáceres,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"4,0 años",1.010 €
40,Universidad de Extremadura,Grado en Administración y Gestión Pública,"5,000",Cáceres,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"4,0 años",740 €
41,Universidad de Extremadura,Grado en Historia y Patrimonio Histórico,"5,000",Cáceres,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"4,0 años",619 €
42,Universidad de Extremadura,Grado en Ingeniería Civil -Transportes y Servicios Urbanos,"5,000",Cáceres,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"4,0 años",1.010 €
43,Universidad de Extremadura,Grado en Ingeniería Hortofrutícola y Jardinería,"5,000",Badajoz,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"4,0 años",1.010 €
44,Universidad de Extremadura,Grado en Filología Clásica,"5,000",Cáceres,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"4,0 años",619 €
45,Universidad de Extremadura,Grado en Ingeniería en Telemática,"5,000",Badajoz,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"4,0 años",1.010 €
46,Universidad de Extremadura,Grado en Finanzas y Contabilidad,"5,000",Cáceres,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"4,0 años",740 €
47,Universidad de Extremadura,Grado en Biología,"5,000",Badajoz,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"4,0 años",942 €
48,Universidad de Extremadura,Grado en Ingeniería en Geomática y Topografía,"5,000",Badajoz,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"4,0 años",1.010 €
49,Universidad de Extremadura,Grado en Turismo,"5,000",Cáceres,Presencial,Universidad Pública,http://www.unex.es/conoce-la-uex/centros...,"4,0 años",740 €
