,University,Grade,Province,Modality,Duration,Cost
0,Universidade de Santiago de Compostela,"13,356",A Coruña,Presencial,"5,0 años",900 €
1,Universidade de Santiago de Compostela,"12,942",A Coruña,Presencial,,600 €
2,Universidade de Santiago de Compostela,"12,800",A Coruña,Presencial,,900 €
3,Universidade de Santiago de Compostela,"12,286",A Coruña,Presencial,"6,0 años",836 €
4,Universidade da Coruña,"11,919",A Coruña,Presencial,"5,0 años",no disponible
5,Centro Universitario de la Defensa - Escuela Naval Militar Marín,"11,882",Pontevedra,Presencial,"5,0 años",0 €
6,Universidade de Santiago de Compostela,"11,850",A Coruña,Presencial,"6,0 años",1.000 €
7,Universidade de Santiago de Compostela,"11,640",A Coruña,Presencial,"4,0 años",1.003 €
8,Universidade de Santiago de Compostela,"11,344",A Coruña,Presencial,"5,0 años",740 €
9,Universidade de Santiago de Compostela,"11,278",A Coruña,Presencial,"5,0 años",836 €
10,Universidade de Santiago de Compostela,"11,261",A Coruña,Presencial,"5,0 años",900 €
11,Universidade de Vigo,"10,914",Ourense,Presencial,"4,0 años",836 €
12,Universidade de Santiago de Compostela,"10,817",A Coruña,Presencial,"4,0 años",836 €
13,Universidade de Santiago de Compostela,"10,780",A Coruña,Presencial,"4,0 años",591 €
14,Universidade de Santiago de Compostela,"10,780",A Coruña,Presencial,"4,0 años",836 €
15,Universidade de Vigo,"10,760",Pontevedra,Presencial,"4,0 años",591 €
16,Universidade da Coruña,"10,716",A Coruña,Presencial,"6,0 años",no disponible
17,Universidade da Coruña,"10,700",A Coruña,Presencial,"4,0 años",836 €
18,Universidade de Santiago de Compostela,"10,680",Lugo,Presencial,"5,0 años",no disponible
19,Universidade de Santiago de Compostela,"10,584",A Coruña,Presencial,"4,0 años",591 €
20,Universidade de Santiago de Compostela,"10,540",A Coruña,Presencial,"4,0 años",836 €
21,Universidade de Vigo,"10,510",Pontevedra,Presencial,"4,0 años",836 €
22,Universidade de Vigo,"10,490",Pontevedra,Presencial,"5,0 años",709 €
23,Universidade de Santiago de Compostela,"10,360",A Coruña,Presencial,"6,0 años",600 €
24,Universidade de Santiago de Compostela,"10,305",Lugo,Presencial,"5,0 años",836 €
25,E.U. de Enfermería A Coruña,"10,152",A Coruña,Presencial,"4,0 años",827 €
26,Universidade de Santiago de Compostela,"10,120",Lugo,Presencial,"4,0 años",836 €
27,E.U. de Enfermería de Meixoeiro,"10,062",Pontevedra,Presencial,"4,0 años",836 €
28,Universidade de Santiago de Compostela,"9,972",A Coruña,Presencial,"4,0 años",836 €
29,Universidade de Santiago de Compostela,"9,896",A Coruña,Presencial,"4,0 años",591 €
30,E.U. de Enfermería de Pontevedra,"9,405",Pontevedra,Presencial,"4,0 años",836 €
31,Universidade da Coruña,"9,393",A Coruña,Presencial,"4,0 años",836 €
32,Universidade de Santiago de Compostela,"9,364",A Coruña,Presencial,"4,0 años",836 €
33,Universidade de Vigo,"9,241",Ourense,Presencial,"5,0 años",709 €
34,E.U. de Enfermería de Ourense,"9,230",Ourense,Presencial,"4,0 años",836 €
35,Universidade de Santiago de Compostela,"9,200",A Coruña,Presencial,"5,0 años",836 €
36,E.U. de Enfermería de Lugo,"9,130",Lugo,Presencial,"4,0 años",836 €
37,Universidade da Coruña,"9,118",A Coruña,Presencial,"4,0 años",591 €
38,Universidade de Vigo,"9,074",Pontevedra,Presencial,"4,0 años",591 €
39,Universidade de Santiago de Compostela,"8,952",A Coruña,Presencial,"4,0 años",836 €
40,Universidade de Santiago de Compostela,"8,920",A Coruña,Presencial,"4,0 años",591 €
41,Universidade da Coruña,"8,862",A Coruña,Presencial,"4,0 años",836 €
42,Universidade de Santiago de Compostela,"8,800",A Coruña,Presencial,"4,0 años",836 €
43,Universidade de Santiago de Compostela,"8,746",A Coruña,Presencial,"4,0 años",836 €
44,Universidade de Santiago de Compostela,"8,704",A Coruña,Presencial,"4,0 años",591 €
45,Universidade de Santiago de Compostela,"8,570",A Coruña,Presencial,"4,0 años",591 €
46,Universidade da Coruña,"8,500",A Coruña,Presencial,"4,0 años",591 €
47,Universidade de Santiago de Compostela,"8,472",A Coruña,Presencial,"4,0 años",836 €
48,E.U. de Enfermería (Povisa),"8,429",Pontevedra,Presencial,"4,0 años",3.260 €
49,Universidade da Coruña,"8,420",A Coruña,Presencial,"4,0 años",591 €
