,University,Grade,Province,Modality,Duration,Cost
0,Universitat de les Illes Balears,"12,446",Baleares,Presencial,"6,0 años",1.388 €
1,Universitat de les Illes Balears,"10,122",Baleares,Presencial,"4,0 años",1.234 €
2,Universitat de les Illes Balears,"10,006",Baleares,Presencial,"5,0 años",no disponible
3,Universitat de les Illes Balears,"9,758",Baleares,Presencial,"5,0 años",no disponible
4,Universitat de les Illes Balears,"9,690",Baleares,Presencial,"4,0 años",1.388 €
5,Adema - Escuela Universitaria de Odontología,"9,634",Baleares,Presencial,"5,0 años",12.000 €
6,Universitat de les Illes Balears,"9,544",Baleares,Presencial,"5,0 años",no disponible
7,Universitat de les Illes Balears,"9,296",Baleares,Presencial,"4,0 años",1.388 €
8,Universitat de les Illes Balears,"9,270",Baleares,Presencial,"4,0 años",1.388 €
9,Universitat de les Illes Balears,"9,250",Baleares,Presencial,"4,0 años",1.388 €
10,Universitat de les Illes Balears,"8,100",Baleares,Presencial,"4,0 años",1.234 €
11,Universitat de les Illes Balears,"8,054",Baleares,Presencial,"4,0 años",1.234 €
12,Universitat de les Illes Balears,"7,222",Baleares,Presencial,"4,0 años",902 €
13,Universitat de les Illes Balears,"6,920",Baleares,Presencial,"4,0 años",1.081 €
14,Universitat de les Illes Balears,"6,414",Baleares,Presencial,"4,0 años",1.081 €
15,Universitat de les Illes Balears,"6,406",Baleares,Presencial,"4,0 años",1.081 €
16,Universitat de les Illes Balears,"6,338",Baleares,Presencial,"4,0 años",1.234 €
17,Universitat de les Illes Balears,"6,330",Baleares,Presencial,"4,0 años",1.081 €
18,E.U. de Turismo Felipe Moreno,"5,584",Baleares,Presencial,"4,0 años",5.711 €
19,Universitat de les Illes Balears,"5,540",Baleares,Presencial,"4,0 años",1.081 €
20,Universitat de les Illes Balears,"5,502",Baleares,Presencial,"4,0 años",902 €
21,Universitat de les Illes Balears,"5,000",Baleares,Presencial,"4,0 años",901 €
22,Universitat de les Illes Balears,"5,000",Baleares,Presencial,"4,0 años",1.234 €
23,Universitat de les Illes Balears,"5,000",Baleares,Presencial,"4,0 años",1.234 €
24,Universitat de les Illes Balears,"5,000",Baleares,Presencial,"4,0 años",902 €
25,Universitat de les Illes Balears,"5,000",Baleares,Presencial,"4,0 años",773 €
26,Universitat de les Illes Balears,"5,000",Baleares,Presencial,"4,0 años",1.081 €
27,Universitat de les Illes Balears,"5,000",Baleares,Presencial,"4,0 años",902 €
28,Universitat de les Illes Balears,"5,000",Baleares,Presencial,"4,0 años",902 €
29,Universitat de les Illes Balears,"5,000",Baleares,Presencial,"4,0 años",773 €
30,Universitat de les Illes Balears,"5,000",Baleares,Presencial,"6,0 años",no disponible
31,Universitat de les Illes Balears,"5,000",Baleares,Presencial,"4,0 años",773 €
32,Universitat de les Illes Balears,"5,000",Baleares,Presencial,"4,0 años",1.081 €
33,Universitat de les Illes Balears,"5,000",Baleares,Presencial,"4,0 años",773 €
34,Universitat de les Illes Balears,"5,000",Baleares,Presencial,"4,0 años",902 €
35,Universitat de les Illes Balears,"5,000",Baleares,Presencial,"4,0 años",902 €
36,Universitat de les Illes Balears,"5,000",Baleares,Presencial,"4,0 años",773 €
37,Universitat de les Illes Balears,"5,000",Baleares,Presencial,"4,0 años",902 €
38,Universitat de les Illes Balears,"5,000",Baleares,Presencial,"4,0 años",1.388 €
39,Universitat de les Illes Balears,"5,000",Baleares,Presencial,"4,0 años",1.081 €
40,Universitat de les Illes Balears,"5,000",Baleares,Presencial,"4,0 años",1.234 €
41,Universitat de les Illes Balears,"5,000",Baleares,Presencial,"4,0 años",773 €
42,Universitat de les Illes Balears,"5,000",Baleares,Presencial,"4,0 años",773 €
43,Universitat de les Illes Balears,"5,000",Baleares,Presencial,"4,0 años",1.234 €
44,Universitat de les Illes Balears,"5,000",Baleares,Presencial,"4,0 años",902 €
45,Universitat de les Illes Balears,"5,000",Baleares,Presencial,"4,0 años",1.081 €
46,E.U. de Turismo de Ibiza,"5,000",Baleares,Presencial,"4,0 años",950 €
47,E.U. de Turismo Felipe Moreno,"5,000",Baleares,Presencial,"4,0 años",5.711 €
48,Universitat de les Illes Balears,"5,000",Baleares,A distancia,"4,0 años",1.081 €
49,Centro de Enseñanza Superior Alberta Giménez,No aplica,Baleares,Presencial,"4,0 años",6.779 €
