,University,Grade,Province,Modality,Public/Private,Duration,Cost
0,Universidad de Las Palmas de Gran Canaria,"12,893",Las Palmas,Presencial,Universidad Pública,"5,0 años",no disponible
1,Universidad de Las Palmas de Gran Canaria,"12,604",Las Palmas,Presencial,Universidad Pública,"6,0 años",1.046 €
2,Universidad de La Laguna,"12,546",Santa Cruz,Presencial,Universidad Pública,"6,0 años",1.046 €
3,E.U. de Enfermería Nuestra Señora de Candelaria,"10,879",Santa Cruz,Presencial,Centro Adscrito Público,"4,0 años",1.137 €
4,Universidad de Las Palmas de Gran Canaria,"10,822",Las Palmas,Presencial,Universidad Pública,"4,0 años",1.046 €
5,Universidad de Las Palmas de Gran Canaria,"10,768",Las Palmas,Presencial,Universidad Pública,"4,0 años",1.046 €
6,Universidad de La Laguna,"10,745",Santa Cruz,Presencial,Universidad Pública,"4,0 años",1.046 €
7,Universidad de Las Palmas de Gran Canaria,"10,704",Las Palmas,Presencial,Universidad Pública,"5,0 años",1.046 €
8,Universidad de La Laguna,"10,321",Santa Cruz,Presencial,Universidad Pública,"4,0 años",1.046 €
9,Universidad de Las Palmas de Gran Canaria,"9,495",Las Palmas,Presencial,Universidad Pública,"4,0 años",1.046 €
10,Universidad de Las Palmas de Gran Canaria,"9,293",Las Palmas,Presencial,Universidad Pública,"5,0 años",no disponible
11,Universidad de Las Palmas de Gran Canaria,"9,284",Las Palmas,Presencial,Universidad Pública,"4,0 años",1.046 €
12,Universidad de La Laguna,"9,140",Santa Cruz,Presencial,Universidad Pública,"4,0 años",905 €
13,Universidad de Las Palmas de Gran Canaria,"9,020",Las Palmas,Presencial,Universidad Pública,"4,0 años",905 €
14,Universidad de La Laguna,"8,920",Santa Cruz,Presencial,Universidad Pública,"4,0 años",1.046 €
15,Universidad de La Laguna,"8,779",Santa Cruz,Presencial,Universidad Pública,"4,0 años",1.046 €
16,Universidad de Las Palmas de Gran Canaria,"8,563",Las Palmas,Presencial,Universidad Pública,"5,0 años",no disponible
17,Universidad de Las Palmas de Gran Canaria,"8,500",Las Palmas,Presencial,Universidad Pública,"4,0 años",679 €
18,Universidad de Las Palmas de Gran Canaria,"8,423",Las Palmas,Presencial,Universidad Pública,"4,0 años",728 €
19,Universidad de La Laguna,"8,421",Santa Cruz,Presencial,Universidad Pública,"4,0 años",728 €
20,Universidad de Las Palmas de Gran Canaria,"8,360",Las Palmas,Presencial,Universidad Pública,"4,0 años",728 €
21,Universidad de Las Palmas de Gran Canaria,"7,800",Las Palmas,Presencial,Universidad Pública,"4,0 años",728 €
22,Universidad de La Laguna,"7,595",Santa Cruz,Presencial,Universidad Pública,"4,0 años",728 €
23,Universidad de La Laguna,"7,496",Santa Cruz,Presencial,Universidad Pública,"5,0 años",1.046 €
24,Universidad de La Laguna,"7,411",Santa Cruz,Presencial,Universidad Pública,"4,0 años",728 €
25,Universidad de Las Palmas de Gran Canaria,"7,230",Las Palmas,Presencial,Universidad Pública,"4,0 años",728 €
26,Universidad de Las Palmas de Gran Canaria,"7,207",Las Palmas,Presencial,Universidad Pública,"4,0 años",728 €
27,Universidad de La Laguna,"7,139",Santa Cruz,Presencial,Universidad Pública,"4,0 años",1.046 €
28,Universidad de La Laguna,"7,100",Santa Cruz,Presencial,Universidad Pública,"4,0 años",728 €
29,Universidad de La Laguna,"7,080",Santa Cruz,Presencial,Universidad Pública,"4,0 años",1.046 €
30,Universidad de La Laguna,"7,070",Santa Cruz,Presencial,Universidad Pública,"4,0 años",728 €
31,Universidad de La Laguna,"7,037",Santa Cruz,Presencial,Universidad Pública,"4,0 años",1.046 €
32,Universidad de Las Palmas de Gran Canaria,"6,783",Las Palmas,Presencial,Universidad Pública,"4,0 años",728 €
33,Universidad de La Laguna,"6,570",Santa Cruz,Presencial,Universidad Pública,"4,0 años",728 €
34,Universidad de La Laguna,"6,500",Santa Cruz,Presencial,Universidad Pública,"4,0 años",728 €
35,Universidad de La Laguna,"5,927",Santa Cruz,Presencial,Universidad Pública,"4,0 años",1.046 €
36,Universidad de Las Palmas de Gran Canaria,"5,898",Las Palmas,Presencial,Universidad Pública,"4,0 años",1.046 €
37,Universidad de La Laguna,"5,568",Santa Cruz,Presencial,Universidad Pública,"4,0 años",1.046 €
38,Universidad de La Laguna,"5,380",Santa Cruz,Presencial,Universidad Pública,"4,0 años",905 €
39,Universidad de La Laguna,"5,205",Santa Cruz,Presencial,Universidad Pública,"4,0 años",1.046 €
40,Universidad de Las Palmas de Gran Canaria,"5,000",Las Palmas,Presencial,Universidad Pública,"4,0 años",1.046 €
41,Universidad de Las Palmas de Gran Canaria,"5,000",Las Palmas,Presencial,Universidad Pública,"6,0 años",no disponible
42,Universidad de Las Palmas de Gran Canaria,"5,000",Las Palmas,Presencial,Universidad Pública,"4,0 años",679 €
43,Universidad de Las Palmas de Gran Canaria,"5,000",Las Palmas,Presencial,Universidad Pública,"4,0 años",728 €
44,Universidad de Las Palmas de Gran Canaria,"5,000",Las Palmas,Presencial,Universidad Pública,"4,0 años",1.046 €
45,Universidad de La Laguna,"5,000",Santa Cruz,Presencial,Universidad Pública,"4,0 años",1.046 €
46,Universidad de Las Palmas de Gran Canaria,"5,000",Las Palmas,Presencial,Universidad Pública,"5,0 años",1.046 €
47,Universidad de La Laguna,"5,000",Santa Cruz,Presencial,Universidad Pública,"4,0 años",1.046 €
48,Universidad de La Laguna,"5,000",Santa Cruz,Presencial,Universidad Pública,"4,0 años",728 €
49,Universidad de Las Palmas de Gran Canaria,"5,000",Las Palmas,Presencial,Universidad Pública,"4,0 años",1.046 €
