,University,Degree,Grade,Province,Modality,Duration,Cost
0,E.U. de Enfermería de La Rioja,Grado en Enfermería,"9,634",La Rioja,Presencial,"4,0 años",1.411 €
1,Universidad de La Rioja,http://www.unirioja.es/facultades_escuel...,"9,603",La Rioja,Presencial,"4,0 años",876 €
2,Universidad de La Rioja,http://www.unirioja.es/facultades_escuel...,"5,183",La Rioja,Presencial,"4,0 años",876 €
3,Universidad de La Rioja,http://www.unirioja.es/facultades_escuel...,"5,158",La Rioja,Presencial,"4,0 años",876 €
4,Universidad de La Rioja,http://www.unirioja.es/facultades_escuel...,"5,000",La Rioja,Presencial,"4,0 años",876 €
5,Universidad de La Rioja,http://www.unirioja.es/facultades_escuel...,"5,000",La Rioja,Presencial,"4,0 años",1.273 €
6,Universidad de La Rioja,http://www.unirioja.es/facultades_escuel...,"5,000",La Rioja,Presencial,"4,0 años",876 €
7,Universidad de La Rioja,http://www.unirioja.es/facultades_escuel...,"5,000",La Rioja,Presencial,"4,0 años",876 €
8,Universidad de La Rioja,http://www.unirioja.es/facultades_escuel...,"5,000",La Rioja,Presencial,"4,0 años",1.273 €
9,Universidad de La Rioja,http://www.unirioja.es/facultades_escuel...,"5,000",La Rioja,Presencial,"4,0 años",876 €
10,Universidad de La Rioja,http://www.unirioja.es/facultades_escuel...,"5,000",La Rioja,Presencial,"4,0 años",1.273 €
11,Universidad de La Rioja,http://www.unirioja.es/facultades_escuel...,"5,000",La Rioja,Presencial,"4,0 años",876 €
12,Universidad de La Rioja,http://www.unirioja.es/facultades_escuel...,"5,000",La Rioja,Presencial,"4,0 años",876 €
13,Universidad de La Rioja,http://www.unirioja.es/facultades_escuel...,"5,000",La Rioja,Presencial,"4,0 años",876 €
14,Universidad de La Rioja,http://www.unirioja.es/facultades_escuel...,"5,000",La Rioja,Presencial,"4,0 años",1.273 €
15,Universidad de La Rioja,http://www.unirioja.es/facultades_escuel...,"5,000",La Rioja,Presencial,"4,0 años",1.273 €
16,Universidad de La Rioja,http://www.unirioja.es/facultades_escuel...,"5,000",La Rioja,Presencial,"4,0 años",876 €
17,Universidad de La Rioja,http://www.unirioja.es/facultades_escuel...,"5,000",La Rioja,Presencial,"4,0 años",1.273 €
18,Universidad de La Rioja,http://www.unirioja.es/facultades_escuel...,"5,000",La Rioja,Presencial,"4,0 años",1.273 €
19,Universidad de La Rioja,http://www.unirioja.es/facultades_escuel...,...,La Rioja,Presencial,"4,0 años",no disponible
20,Universidad de La Rioja,http://www.unirioja.es/facultades_escuel...,...,La Rioja,Presencial,"5,0 años",no disponible
21,Universidad Internacional de La Rioja,http://www.unir.net,No aplica,La Rioja,A distancia,"4,0 años",4.740 €
22,Universidad Internacional de La Rioja,http://www.unir.net,No aplica,La Rioja,A distancia,"4,0 años",4.740 €
23,Universidad Internacional de La Rioja,http://www.unir.net,No aplica,La Rioja,A distancia,"4,0 años",4.740 €
24,Universidad Internacional de La Rioja,http://www.unir.net,No aplica,La Rioja,A distancia,"4,0 años",4.740 €
25,Universidad Internacional de La Rioja,http://www.unir.net,No aplica,La Rioja,A distancia,"4,0 años",4.740 €
26,Universidad Internacional de La Rioja,http://www.unir.net,No aplica,La Rioja,A distancia,"4,0 años",6.000 €
27,Universidad Internacional de La Rioja,http://www.unir.net,No aplica,La Rioja,A distancia,"4,0 años",5.400 €
28,Universidad Internacional de La Rioja,http://www.unir.net,No aplica,La Rioja,A distancia,"4,0 años",6.000 €
29,Universidad Internacional de La Rioja,http://www.unir.net,No aplica,La Rioja,A distancia,"5,0 años",no disponible
30,Universidad Internacional de La Rioja,http://www.unir.net,No aplica,La Rioja,A distancia,"4,0 años",4.740 €
31,Universidad Internacional de La Rioja,http://www.unir.net,No aplica,La Rioja,A distancia,"4,0 años",4.740 €
32,Universidad Internacional de La Rioja,http://www.unir.net,No aplica,La Rioja,A distancia,"4,0 años",4.740 €
33,Universidad Internacional de La Rioja,http://www.unir.net,No aplica,La Rioja,A distancia,"4,0 años",4.740 €
34,Universidad Internacional de La Rioja,http://www.unir.net,No aplica,La Rioja,A distancia,"4,0 años",4.740 €
35,Universidad Internacional de La Rioja,http://www.unir.net,No aplica,La Rioja,A distancia,"5,0 años",no disponible
36,Universidad Internacional de La Rioja,http://www.unir.net,No aplica,La Rioja,A distancia,"4,0 años",4.740 €
37,Universidad Internacional de La Rioja,http://www.unir.net,No aplica,La Rioja,A distancia,"4,0 años",4.740 €
38,Universidad Internacional de La Rioja,http://www.unir.net,No aplica,La Rioja,A distancia,"4,0 años",4.740 €
39,Universidad Internacional de La Rioja,http://www.unir.net,No aplica,La Rioja,A distancia,"4,0 años",4.740 €
