,University,Grade,Province,Modality,Public/Private,Duration,Cost
0,Universidad Complutense de Madrid,"13,667",Madrid,Presencial,Universidad Pública,"5,0 años",no disponible
1,Universidad Complutense de Madrid,"13,264",Madrid,Presencial,Universidad Pública,"5,0 años",no disponible
2,Universidad Carlos III de Madrid,"13,250",Madrid,Presencial,Universidad Pública,"5,0 años",no disponible
3,Universidad Carlos III de Madrid,"13,186",Madrid,Presencial,Universidad Pública,"5,0 años",no disponible
4,Universidad Autónoma de Madrid,"13,110",Madrid,Presencial,Universidad Pública,"6,0 años",1.609 €
5,Universidad Rey Juan Carlos,"13,032",Madrid,Presencial,Universidad Pública,"5,0 años",1.662 €
6,Universidad Carlos III de Madrid,"12,999",Madrid,Presencial,Universidad Pública,"5,0 años",no disponible
7,Universidad Politécnica de Madrid,"12,950",Madrid,Presencial,Universidad Pública,"5,0 años",no disponible
8,Universidad Autónoma de Madrid,"12,926",Madrid,Presencial,Universidad Pública,"5,0 años",no disponible
9,Universidad Rey Juan Carlos,"12,923",Madrid,Presencial,Universidad Pública,"5,0 años",1.524 €
10,Universidad Complutense de Madrid,"12,871",Madrid,Presencial,Universidad Pública,"6,0 años",1.609 €
11,Universidad Rey Juan Carlos,"12,858",Madrid,Presencial,Universidad Pública,"5,0 años",1.662 €
12,Universidad Carlos III de Madrid,"12,808",Madrid,Presencial,Universidad Pública,"5,0 años",no disponible
13,Universidad Politécnica de Madrid,"12,797",Madrid,Presencial,Universidad Pública,"4,0 años",1.609 €
14,Universidad Rey Juan Carlos,"12,793",Madrid,Presencial,Universidad Pública,"6,0 años",1.609 €
15,Universidad Carlos III de Madrid,"12,785",Madrid,Presencial,Universidad Pública,"4,0 años",1.511 €
16,Universidad de Alcalá,"12,747",Madrid,Presencial,Universidad Pública,"6,0 años",1.609 €
17,Universidad Rey Juan Carlos,"12,690",Madrid,Presencial,Universidad Pública,"5,0 años",1.628 €
18,Centro Universitario de la Defensa de Madrid,"12,675",Madrid,Presencial,Centro Adscrito Público,"6,0 años",0 €
19,Universidad Autónoma de Madrid,"12,666",Madrid,Presencial,Universidad Pública,"4,0 años",1.609 €
20,Universidad Rey Juan Carlos,"12,651",Madrid,Presencial,Universidad Pública,"5,0 años",1.662 €
21,Universidad Rey Juan Carlos,"12,637",Madrid,Presencial,Universidad Pública,"4,0 años",1.662 €
22,Universidad Carlos III de Madrid,"12,633",Madrid,Presencial,Universidad Pública,"4,0 años",1.316 €
23,Universidad Autónoma de Madrid,"12,628",Madrid,Presencial,Universidad Pública,"4,0 años",1.316 €
24,Universidad Complutense de Madrid,"12,594",Madrid,Presencial,Universidad Pública,,no disponible
25,Universidad Carlos III de Madrid,"12,574",Madrid,Presencial,Universidad Pública,"4,0 años",1.511 €
26,Universidad Complutense de Madrid,"12,550",Madrid,Presencial,Universidad Pública,"6,0 años",no disponible
27,Universidad Politécnica de Madrid,"12,473",Madrid,Presencial,Universidad Pública,"4,0 años",1.511 €
28,Universidad Carlos III de Madrid,"12,420",Madrid,Presencial,Universidad Pública,"6,0 años",no disponible
29,Universidad Carlos III de Madrid,"12,398",Madrid,Presencial,Universidad Pública,"6,0 años",no disponible
30,Universidad Rey Juan Carlos,"12,366",Madrid,Presencial,Universidad Pública,"5,0 años",1.662 €
31,Universidad Rey Juan Carlos,"12,330",Madrid,Presencial,Universidad Pública,"5,0 años",1.697 €
32,Universidad Rey Juan Carlos,"12,318",Madrid,Presencial,Universidad Pública,"5,0 años",1.420 €
33,Universidad Autónoma de Madrid,"12,298",Madrid,Presencial,Universidad Pública,"4,0 años",1.316 €
34,Universidad de Alcalá,"12,296",Madrid,Presencial,Universidad Pública,"4,0 años",1.609 €
35,Universidad Complutense de Madrid,"12,264",Madrid,Presencial,Universidad Pública,"4,0 años",1.609 €
36,Universidad Rey Juan Carlos,"12,211",Madrid,Presencial,Universidad Pública,"5,0 años",1.458 €
37,Universidad Rey Juan Carlos,"12,176",Madrid,Presencial,Universidad Pública,"5,0 años",1.662 €
38,Universidad Rey Juan Carlos,"12,125",Madrid,Presencial,Universidad Pública,"6,0 años",no disponible
39,Universidad Rey Juan Carlos,"12,110",Madrid,Presencial,Universidad Pública,"5,0 años",1.524 €
40,Centro Universitario de la Guardia Civil,"12,108",Madrid,Presencial,Centro Adscrito Público,"5,0 años",0 €
41,Universidad Complutense de Madrid,"12,036",Madrid,Presencial,Universidad Pública,"5,0 años",1.609 €
42,Universidad Autónoma de Madrid,"12,026",Madrid,Presencial,Universidad Pública,"4,0 años",1.316 €
43,Universidad Rey Juan Carlos,"11,992",Madrid,Presencial,Universidad Pública,"4,0 años",1.511 €
44,Universidad Rey Juan Carlos,"11,981",Madrid,Presencial,Universidad Pública,"5,0 años",1.609 €
45,Universidad Rey Juan Carlos,"11,815",Madrid,Presencial,Universidad Pública,"5,0 años",1.593 €
46,Universidad Politécnica de Madrid,"11,811",Madrid,Presencial,Universidad Pública,"4,0 años",1.511 €
47,Universidad Rey Juan Carlos,"11,792",Madrid,Presencial,Universidad Pública,"5,0 años",1.420 €
48,Universidad Rey Juan Carlos,"11,790",Madrid,Presencial,Universidad Pública,"4,0 años",1.693 €
49,Universidad Carlos III de Madrid,"11,789",Madrid,Presencial,Universidad Pública,"4,0 años",1.316 €
