,University,Grade,Province,Modality,Duration,Cost
0,Universidad Pública de Navarra,"12,004",Navarra,Presencial,"5,0 años",1.171 €
1,Universidad Pública de Navarra,"10,994",Navarra,Presencial,"6,0 años",954 €
2,Universidad Pública de Navarra,"10,744",Navarra,Presencial,"5,0 años",954 €
3,Universidad Pública de Navarra,"10,167",Navarra,Presencial,"4,0 años",1.383 €
4,Universidad Pública de Navarra,"10,160",Navarra,Presencial,"4,0 años",1.383 €
5,Universidad Pública de Navarra,"9,935",Navarra,Presencial,"4,0 años",1.383 €
6,Universidad Pública de Navarra,"9,345",Navarra,Presencial,"4,0 años",976 €
7,Universidad Pública de Navarra,"8,126",Navarra,Presencial,"4,0 años",976 €
8,Universidad Pública de Navarra,"7,850",Navarra,Presencial,"4,0 años",1.383 €
9,Universidad Pública de Navarra,"7,444",Navarra,Presencial,"4,0 años",976 €
10,Universidad Pública de Navarra,"7,140",Navarra,Presencial,"4,0 años",1.383 €
11,Universidad Pública de Navarra,"7,000",Navarra,Presencial,"4,0 años",976 €
12,Universidad Pública de Navarra,"6,973",Navarra,Presencial,"4,0 años",976 €
13,Universidad Pública de Navarra,"6,910",Navarra,Presencial,"4,0 años",976 €
14,Universidad Pública de Navarra,"6,490",Navarra,Presencial,"4,0 años",976 €
15,Universidad Pública de Navarra,"5,000",Navarra,Presencial,"4,0 años",976 €
16,Universidad Pública de Navarra,"5,000",Navarra,Presencial,"4,0 años",1.383 €
17,Universidad Pública de Navarra,"5,000",Navarra,Presencial,"4,0 años",976 €
18,Universidad Pública de Navarra,"5,000",Navarra,Presencial,"4,0 años",1.383 €
19,Universidad Pública de Navarra,"5,000",Navarra,Presencial,"4,0 años",1.383 €
20,Universidad Pública de Navarra,"5,000",Navarra,Presencial,"4,0 años",976 €
21,Universidad Pública de Navarra,"5,000",Navarra,Presencial,"4,0 años",1.383 €
22,Universidad Pública de Navarra,"5,000",Navarra,Presencial,"4,0 años",1.383 €
23,Universidad Pública de Navarra,"5,000",Navarra,Presencial,"4,0 años",1.383 €
24,Universidad Pública de Navarra,"5,000",Navarra,Presencial,"5,0 años",1.352 €
25,Universidad Pública de Navarra,"5,000",Navarra,Presencial,"4,0 años",1.383 €
26,Universidad Pública de Navarra,"5,000",Navarra,Presencial,"4,0 años",1.383 €
27,Universidad Pública de Navarra,"5,000",Navarra,Presencial,"4,0 años",976 €
28,Universidad Pública de Navarra,"5,000",Navarra,Presencial,"4,0 años",1.383 €
29,Universidad Pública de Navarra,...,Navarra,Presencial,"4,0 años",1.383 €
30,Universidad Pública de Navarra,...,Navarra,Presencial,"4,0 años",1.383 €
31,Universidad Pública de Navarra,...,Navarra,Presencial,"4,0 años",1.383 €
32,Universidad Pública de Navarra,...,Navarra,Presencial,"4,0 años",1.383 €
33,Universidad de Navarra,No aplica,Navarra,Presencial,"4,0 años",10.615 €
34,Universidad de Navarra,No aplica,Navarra,Presencial,"5,0 años",12.870 €
35,Universidad de Navarra,No aplica,Navarra,Presencial,"4,0 años",10.722 €
36,Universidad de Navarra,No aplica,Navarra,Presencial,"4,0 años",13.338 €
37,Universidad de Navarra,No aplica,Navarra,Presencial,"5,0 años",11.654 €
38,Universidad de Navarra,No aplica,Navarra,Presencial,"4,0 años",9.318 €
39,Universidad de Navarra,No aplica,Navarra,Presencial,"5,0 años",11.171 €
40,Universidad de Navarra,No aplica,Navarra,Presencial,"4,0 años",9.318 €
41,Universidad de Navarra,No aplica,Navarra,Presencial,"6,0 años",11.652 €
42,Universidad de Navarra,No aplica,Navarra,Presencial,"5,0 años",10.534 €
43,Universidad de Navarra,No aplica,Navarra,Presencial,"4,0 años",10.722 €
44,Universidad de Navarra,No aplica,Navarra,Presencial,"5,0 años",11.401 €
45,Universidad de Navarra,No aplica,Navarra,Presencial,"4,0 años",9.318 €
46,Universidad de Navarra,No aplica,Navarra,Presencial,"4,0 años",9.318 €
47,Universidad de Navarra,No aplica,Navarra,Presencial,"4,0 años",9.318 €
48,Universidad de Navarra,No aplica,Navarra,Presencial,"4,0 años",11.652 €
49,Universidad de Navarra,No aplica,Navarra,Presencial,"4,0 años",11.936 €
