,University,Degree,Grade,Province,Modality,Public/Private,Duration,Cost
0,Universidad del País Vasco,Doble Grado en Física + Ingeniería Electrónica,"12,882",Vizcaya,Presencial,Universidad Pública,"5,0 años",1.301 €
1,Universidad del País Vasco,Grado en Bioquímica y Biología Molecular,"12,531",Vizcaya,Presencial,Universidad Pública,"4,0 años",1.225 €
2,Universidad del País Vasco,Grado en Medicina,"12,331",Vizcaya,Presencial,Universidad Pública,"6,0 años",1.225 €
3,Universidad del País Vasco,Grado en Biotecnología,"12,154",Vizcaya,Presencial,Universidad Pública,"4,0 años",1.225 €
4,Universidad del País Vasco,Grado en Odontología,"11,760",Vizcaya,Presencial,Universidad Pública,"5,0 años",1.225 €
5,Universidad del País Vasco,Grado en Física,"11,545",Vizcaya,Presencial,Universidad Pública,"4,0 años",1.186 €
6,Universidad del País Vasco,Grado en Fisioterapia,"11,398",Vizcaya,Presencial,Universidad Pública,"4,0 años",1.225 €
7,Universidad del País Vasco,Doble Grado en Administración y Dirección de Empresas + Derecho,"11,055",Vizcaya,Presencial,Universidad Pública,"6,0 años",1.102 €
8,Universidad del País Vasco,Grado en Enfermería,"11,030",Vizcaya,Presencial,Universidad Pública,"4,0 años",1.225 €
9,E.U. de Enfermería de Vitoria-Gasteiz ,Grado en Enfermería,"10,787",Álava,Presencial,Centro Adscrito Público,"4,0 años",1.200 €
10,Universidad del País Vasco,Grado en Ingeniería Electrónica,"10,648",Vizcaya,Presencial,Universidad Pública,"4,0 años",1.186 €
11,Universidad del País Vasco,Grado en Enfermería,"10,631",Guipúzcoa,Presencial,Universidad Pública,"4,0 años",1.225 €
12,Universidad del País Vasco,Grado en Matemáticas,"10,375",Vizcaya,Presencial,Universidad Pública,"4,0 años",898 €
13,Universidad del País Vasco,Grado en Traducción e Interpretación,"10,358",Álava,Presencial,Universidad Pública,"4,0 años",1.186 €
14,Universidad del País Vasco,Grado en Traducción e Interpretación,"10,358",Álava,Presencial,Universidad Pública,"4,0 años",1.151 €
15,Universidad del País Vasco,Grado en Ciencias de la Actividad Física y el Deporte,"10,288",Álava,Presencial,Universidad Pública,"4,0 años",1.186 €
16,Universidad del País Vasco,Grado en Biología,"10,250",Vizcaya,Presencial,Universidad Pública,"4,0 años",1.225 €
17,Universidad del País Vasco,Grado en Derecho,"10,091",Vizcaya,Presencial,Universidad Pública,"4,0 años",879 €
18,Universidad del País Vasco,Grado en Comunicación Audiovisual,"10,018",Vizcaya,Presencial,Universidad Pública,"4,0 años",898 €
19,Universidad del País Vasco,Grado en Ingeniería Química,"9,995",Vizcaya,Presencial,Universidad Pública,"4,0 años",1.186 €
20,Universidad del País Vasco,Grado en Ingeniería en Automoción,"9,825",Álava,Presencial,Universidad Pública,"4,0 años",1.151 €
21,Universidad del País Vasco,http://www.farmazia.ehu.es/,"9,590",Álava,Presencial,Universidad Pública,"5,0 años",1.225 €
22,Universidad del País Vasco,http://www.filosofia-hezkuntza-zientziak...,"9,066",Guipúzcoa,Presencial,Universidad Pública,"4,0 años",898 €
23,Universidad del País Vasco,http://www.irakasleen-ue-bilbao.ehu.es/,"9,034",Vizcaya,Presencial,Universidad Pública,"4,0 años",863 €
24,Universidad del País Vasco,http://www.zuzenbide.ehu.es/,"8,978",Guipúzcoa,Presencial,Universidad Pública,"4,0 años",879 €
25,Universidad del País Vasco,http://www.psikologia.ehu.es/,"8,975",Guipúzcoa,Presencial,Universidad Pública,"4,0 años",1.186 €
26,Universidad del País Vasco,http://www.farmazia.ehu.es/,"8,926",Álava,Presencial,Universidad Pública,"4,0 años",1.225 €
27,Universidad del País Vasco,http://www.zientzia-teknologia.ehu.es/,"8,900",Vizcaya,Presencial,Universidad Pública,"4,0 años",1.225 €
28,Universidad del País Vasco,http://www.irakasleen-ue-bilbao.ehu.es/,"8,817",Vizcaya,Presencial,Universidad Pública,"4,0 años",898 €
29,Universidad del País Vasco,http://www.gizarte-komunikazio-zientziak...,"8,806",Vizcaya,Presencial,Universidad Pública,"4,0 años",898 €
30,Universidad del País Vasco,http://www.irakasleen-ue-bilbao.ehu.es/,"8,788",Vizcaya,Presencial,Universidad Pública,"4,0 años",898 €
31,Universidad del País Vasco,http://www.irakasleen-ue-bilbao.ehu.es/,"8,722",Vizcaya,Presencial,Universidad Pública,"4,0 años",898 €
32,Universidad del País Vasco,http://www.meatze-herri-lan-ingeniaritza...,"8,664",Vizcaya,Presencial,Universidad Pública,"4,0 años",1.186 €
33,Universidad del País Vasco,http://www.filosofia-hezkuntza-zientziak...,"8,642",Guipúzcoa,Presencial,Universidad Pública,"4,0 años",898 €
34,Universidad del País Vasco,http://www.filosofia-hezkuntza-zientziak...,"8,573",Guipúzcoa,Presencial,Universidad Pública,"4,0 años",898 €
35,Universidad del País Vasco,http://www.filosofia-hezkuntza-zientziak...,"8,570",Guipúzcoa,Presencial,Universidad Pública,"4,0 años",898 €
36,Universidad del País Vasco,https://www.ehu.eus/es/web/hezkuntza-eta...,"8,544",Álava,Presencial,Universidad Pública,"4,0 años",863 €
37,Universidad del País Vasco,http://www.gizarte-komunikazio-zientziak...,"8,290",Vizcaya,Presencial,Universidad Pública,"4,0 años",879 €
38,Universidad del País Vasco,http://www.letrak.ehu.es/,"8,269",Álava,Presencial,Universidad Pública,"4,0 años",879 €
39,Universidad del País Vasco,http://www.zuzenbide.ehu.es/,"8,145",Guipúzcoa,Presencial,Universidad Pública,"4,0 años",879 €
40,Universidad del País Vasco,https://www.ehu.eus/es/web/hezkuntza-eta...,"8,060",Álava,Presencial,Universidad Pública,"4,0 años",898 €
41,Universidad del País Vasco,https://www.ehu.eus/es/web/hezkuntza-eta...,"7,850",Álava,Presencial,Universidad Pública,"4,0 años",898 €
42,Universidad del País Vasco,http://www.meatze-herri-lan-ingeniaritza...,"7,554",Vizcaya,Presencial,Universidad Pública,"4,0 años",1.186 €
43,Universidad del País Vasco,https://www.ehu.eus/es/web/lan-harreman-...,"7,291",Álava,Presencial,Universidad Pública,"4,0 años",898 €
