,University,Grade,Province,Modality,Public/Private,Duration,Cost
0,Universidad de Murcia,"12,819",Murcia,Presencial,Universidad Pública,"6,0 años",1.007 €
1,Centro Universitario de la Defensa. Academia General del Aire,"11,961",Murcia,Presencial,Centro Adscrito Público,"5,0 años",0 €
2,Universidad de Murcia,"11,953",Murcia,Presencial,Universidad Pública,"4,0 años",863 €
3,Universidad de Murcia,"11,715",Murcia,Presencial,Universidad Pública,"4,0 años",1.007 €
4,Universidad de Murcia,"11,619",Murcia,Presencial,Universidad Pública,"5,0 años",1.007 €
5,Universidad de Murcia,"11,300",Murcia,Presencial,Universidad Pública,"4,0 años",1.007 €
6,Universidad de Murcia,"11,082",Murcia,Presencial,Universidad Pública,"5,0 años",1.007 €
7,Universidad de Murcia,"10,794",Murcia,Presencial,Universidad Pública,"4,0 años",1.007 €
8,Universidad Politécnica de Cartagena,"10,727",Murcia,Presencial,Universidad Pública,"4,0 años",1.007 €
9,Universidad de Murcia,"10,706",Murcia,Presencial,Universidad Pública,"5,0 años",1.013 €
10,Universidad de Murcia,"10,421",Murcia,Presencial,Universidad Pública,"4,0 años",1.007 €
11,Universidad de Murcia,"9,620",Murcia,Presencial,Universidad Pública,"4,0 años",1.007 €
12,Universidad de Murcia,"9,610",Murcia,Presencial,Universidad Pública,"4,0 años",863 €
13,E.U. de Enfermería de Cartagena,"9,541",Murcia,Presencial,Centro Adscrito Público,"4,0 años",1.006 €
14,Universidad de Murcia,"9,387",Murcia,Presencial,Universidad Pública,"4,0 años",1.007 €
15,Universidad Politécnica de Cartagena,"9,242",Murcia,Presencial,Universidad Pública,"4,0 años",1.007 €
16,Universidad de Murcia,"9,109",Murcia,Presencial,Universidad Pública,"5,0 años",1.013 €
17,Universidad de Murcia,"9,054",Murcia,Presencial,Universidad Pública,"4,0 años",863 €
18,Universidad de Murcia,"8,817",Murcia,Presencial,Universidad Pública,"4,0 años",1.007 €
19,Universidad Politécnica de Cartagena,"8,699",Murcia,Presencial,Universidad Pública,"4,0 años",1.007 €
20,Universidad de Murcia,"8,696",Murcia,Presencial,Universidad Pública,"4,0 años",863 €
21,Universidad de Murcia,"8,646",Murcia,Presencial,Universidad Pública,"4,0 años",863 €
22,Universidad Politécnica de Cartagena,"8,643",Murcia,Presencial,Universidad Pública,"4,0 años",1.007 €
23,Universidad de Murcia,"8,570",Murcia,Presencial,Universidad Pública,"4,0 años",1.007 €
24,Universidad de Murcia,"8,529",Murcia,Presencial,Universidad Pública,"4,0 años",863 €
25,Universidad de Murcia,"8,452",Murcia,Presencial,Universidad Pública,"4,0 años",863 €
26,Universidad Politécnica de Cartagena,"8,400",Murcia,Presencial,Universidad Pública,"4,0 años",1.007 €
27,Universidad de Murcia,"8,400",Murcia,Presencial,Universidad Pública,"4,0 años",1.007 €
28,Universidad de Murcia,"8,383",Murcia,Presencial,Universidad Pública,"4,0 años",863 €
29,Universidad de Murcia,"8,364",Murcia,Presencial,Universidad Pública,"4,0 años",1.007 €
30,Universidad de Murcia,"8,221",Murcia,Presencial,Universidad Pública,"4,0 años",863 €
31,Universidad de Murcia,"8,179",Murcia,Presencial,Universidad Pública,"4,0 años",863 €
32,Universidad de Murcia,"8,045",Murcia,Presencial,Universidad Pública,"5,0 años",1.013 €
33,Universidad Politécnica de Cartagena,"7,893",Murcia,Presencial,Universidad Pública,"4,0 años",1.007 €
34,Universidad de Murcia,"7,867",Murcia,Presencial,Universidad Pública,"4,0 años",1.007 €
35,Universidad de Murcia,"7,706",Murcia,Presencial,Universidad Pública,"4,0 años",1.007 €
36,Universidad de Murcia,"7,600",Murcia,Presencial,Universidad Pública,"4,0 años",863 €
37,Universidad Politécnica de Cartagena,"7,569",Murcia,Presencial,Universidad Pública,"4,0 años",1.007 €
38,Universidad de Murcia,"7,560",Murcia,Presencial,Universidad Pública,"4,0 años",1.007 €
39,Universidad de Murcia,"7,385",Murcia,Presencial,Universidad Pública,"4,0 años",863 €
40,Universidad Politécnica de Cartagena,"7,190",Murcia,Presencial,Universidad Pública,"5,0 años",1.007 €
41,Universidad Politécnica de Cartagena,"7,129",Murcia,Presencial,Universidad Pública,"4,0 años",1.007 €
42,Universidad Politécnica de Cartagena,"6,640",Murcia,Presencial,Universidad Pública,"4,0 años",1.007 €
43,Universidad de Murcia,"6,600",Murcia,Presencial,Universidad Pública,"4,0 años",1.007 €
44,Universidad Politécnica de Cartagena,"6,549",Murcia,Presencial,Universidad Pública,"4,0 años",1.007 €
45,Universidad Politécnica de Cartagena,"5,900",Murcia,Presencial,Universidad Pública,"4,0 años",1.007 €
46,Universidad de Murcia,"5,564",Murcia,Presencial,Universidad Pública,"4,0 años",1.007 €
47,Universidad de Murcia,"5,522",Murcia,Presencial,Universidad Pública,"4,0 años",1.007 €
48,Universidad de Murcia,"5,436",Murcia,Presencial,Universidad Pública,"4,0 años",1.007 €
49,Universidad Politécnica de Cartagena,"5,426",Murcia,Presencial,Universidad Pública,"4,0 años",1.007 €
