,University,Grade,Province,Modality,Public/Private,Duration,Cost
0,Universitat de València,"12,990",Valencia,Presencial,Universidad Pública,"6,0 años",1.389 €
1,Universidad Miguel Hernández de Elche,"12,851",Alicante,Presencial,Universidad Pública,"6,0 años",1.389 €
2,Universitat Politècnica de València,"12,816",Valencia,Presencial,Universidad Pública,"4,0 años",1.331 €
3,Universitat Jaume I,"12,780",Castellón,Presencial,Universidad Pública,"6,0 años",1.389 €
4,Universitat de València,"12,733",Valencia,Presencial,Universidad Pública,"4,0 años",1.331 €
5,Universitat de València,"12,610",Valencia,Presencial,Universidad Pública,"4,0 años",1.077 €
6,Universitat Politècnica de València,"12,470",Valencia,Presencial,Universidad Pública,"4,0 años",1.331 €
7,Universitat Politècnica de València,"12,424",Valencia,Presencial,Universidad Pública,"4,0 años",1.331 €
8,Universitat de València,"12,418",Valencia,Presencial,Universidad Pública,"5,0 años",no disponible
9,Universitat de València,"12,365",Valencia,Presencial,Universidad Pública,"5,0 años",1.389 €
10,Universitat de València,"12,216",Valencia,Presencial,Universidad Pública,"5,0 años",no disponible
11,Escuela de Enfermería La Fe,"12,130",Valencia,Presencial,Centro Adscrito Público,"4,0 años",1.493 €
12,Universitat de València,"12,094",Valencia,Presencial,Universidad Pública,"4,0 años",1.331 €
13,Universidad de Alicante,"11,981",Alicante,Presencial,Universidad Pública,"4,0 años",982 €
14,Universitat de València,"11,950",Valencia,Presencial,Universidad Pública,"4,0 años",982 €
15,Universitat de València,"11,898",Valencia,Presencial,Universidad Pública,"5,0 años",no disponible
16,Universitat de València,"11,874",Valencia,Presencial,Universidad Pública,"4,0 años",1.077 €
17,Universidad Miguel Hernández de Elche,"11,864",Alicante,Presencial,Universidad Pública,"4,0 años",1.331 €
18,Universitat de València,"11,769",Valencia,Presencial,Universidad Pública,"4,0 años",982 €
19,Universidad de Alicante,"11,636",Alicante,Presencial,Universidad Pública,"4,0 años",1.077 €
20,Universitat de València,"11,402",Valencia,Presencial,Universidad Pública,"5,0 años",no disponible
21,Universitat de València,"11,338",Valencia,Presencial,Universidad Pública,"4,0 años",982 €
22,Universitat de València,"11,296",Valencia,Presencial,Universidad Pública,"4,0 años",1.389 €
23,Universitat de València,"11,192",Valencia,Presencial,Universidad Pública,"4,0 años",1.331 €
24,Universitat Politècnica de València,"11,184",Valencia,Presencial,Universidad Pública,"5,0 años",1.700 €
25,Universidad de Alicante,"11,172",Alicante,Presencial,Universidad Pública,"4,0 años",1.077 €
26,Universitat de València,"11,080",Valencia,Presencial,Universidad Pública,"4,0 años",1.389 €
27,Universitat Jaume I,"10,975",Castellón,Presencial,Universidad Pública,"4,0 años",1.389 €
28,Universidad de Alicante,"10,968",Alicante,Presencial,Universidad Pública,"4,0 años",1.389 €
29,Universitat de València,"10,962",Valencia,Presencial,Universidad Pública,"5,0 años",1.389 €
30,Universitat Politècnica de València,"10,953",Valencia,Presencial,Universidad Pública,"4,0 años",1.331 €
31,Universidad de Alicante,"10,885",Alicante,Presencial,Universidad Pública,"4,0 años",1.331 €
32,Universitat Politècnica de València,"10,838",Valencia,Presencial,Universidad Pública,"4,0 años",1.077 €
33,Universitat de València,"10,834",Valencia,Presencial,Universidad Pública,"5,0 años",no disponible
34,Universitat Jaume I,"10,785",Castellón,Presencial,Universidad Pública,"6,0 años",no disponible
35,Escuela de Enfermería Ntra. Sra. Del Sagrado Corazón,"10,674",Castellón,Presencial,Centro Adscrito Público,"4,0 años",1.493 €
36,Universidad Miguel Hernández de Elche,"10,598",Alicante,Presencial,Universidad Pública,"4,0 años",1.389 €
37,Universitat de València,"10,588",Valencia,Presencial,Universidad Pública,"4,0 años",1.389 €
38,Universidad de Alicante,"10,496",Alicante,Presencial,Universidad Pública,"5,0 años",no disponible
39,Universitat Politècnica de València,"10,482",Valencia,Presencial,Universidad Pública,"4,0 años",1.331 €
40,Universidad Miguel Hernández de Elche,"10,416",Alicante,Presencial,Universidad Pública,"5,0 años",1.389 €
41,Universitat Jaume I,"10,396",Castellón,Presencial,Universidad Pública,"4,0 años",982 €
42,Universitat de València,"10,391",Valencia,Presencial,Universidad Pública,"4,0 años",982 €
43,Universidad de Alicante,"10,369",Alicante,Presencial,Universidad Pública,"5,0 años",no disponible
44,Universitat Politècnica de València,"10,324",Valencia,Presencial,Universidad Pública,"4,0 años",1.331 €
45,Universitat de València,"10,318",Valencia,Presencial,Universidad Pública,"5,0 años",no disponible
46,Universitat de València,"10,178",Valencia,Presencial,Universidad Pública,"4,0 años",1.077 €
47,Universitat Politècnica de València,"10,102",Valencia,Presencial,Universidad Pública,"4,0 años",1.331 €
48,Universitat de València,"10,060",Valencia,Presencial,Universidad Pública,"4,0 años",1.389 €
49,Universitat Politècnica de València,"9,894",Valencia,Presencial,Universidad Pública,"4,0 años",982 €
